arm,arm_label,result_source,policy,max_nodes_per_level,run_seed,training_sample_multiplier,base_parameter_count,condition,learned_permutation_count,active_node_count,input_slot_count,integrator_parameter_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,feature_storage,peak_resident_feature_rows,temporary_feature_cache_bytes,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,44,3,7,4411658,0.9482421875,0.2096383422613144,16384,8192,8192,4,2.832990102469921,0.0,0.5960072819143534,0.296593738719821,1.9403890818357468,,,,114688,49152,65536,65536,24,1024,512,32768,11264,33792,11264
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,45,4,7,4411658,0.9481770992279053,0.20325283706188202,16384,8192,8192,4,2.799548961222172,0.0,0.6112233716994524,0.3432278446853161,1.8450977448374033,,,,131072,65536,65536,65536,32,1024,512,32768,11520,46080,11520
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,46,4,7,4411658,0.9480298757553101,0.2069847732782364,16384,8192,8192,4,2.9856537599116564,0.0,0.6876275800168514,0.3448939360678196,1.9531322438269854,,,,131072,65536,65536,65536,32,1024,512,32768,11776,47104,11776
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,47,5,7,4411658,0.9443982839584351,0.23359006643295288,16384,8192,8192,4,3.0656173191964626,0.0,0.6702224351465702,0.40573318861424923,1.9896616954356432,,,,147456,81920,65536,65536,40,1024,512,32768,12032,60160,12032
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,48,2,7,4411658,0.9500325322151184,0.20401285588741302,16384,8192,8192,4,3.0553055983036757,0.0,0.7625684682279825,0.25579455494880676,2.0369425751268864,,,,98304,32768,65536,65536,16,1024,512,32768,12288,24576,12288
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,49,3,7,4411658,0.9466677308082581,0.21655522286891937,16384,8192,8192,4,3.037338251248002,0.0,0.715922687202692,0.29263930954039097,2.028776254504919,,,,114688,49152,65536,65536,24,1024,512,32768,12544,37632,12544
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,50,3,7,4411658,0.948046863079071,0.19681698083877563,16384,8192,8192,4,3.1981242056936026,0.0,0.7676129247993231,0.3031077962368727,2.127403484657407,,,,114688,49152,65536,65536,24,1024,512,32768,12800,38400,12800
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,51,4,7,4411658,0.9467677474021912,0.21612004935741425,16384,8192,8192,4,3.0704889576882124,0.0,0.7845023181289434,0.35838313214480877,1.9276035074144602,,,,131072,65536,65536,65536,32,1024,512,32768,13056,52224,13056
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,52,3,7,4411658,0.9475660920143127,0.20492878556251526,16384,8192,8192,4,2.8958356641232967,0.0,0.7413336578756571,0.3011563662439585,1.8533456400036812,,,,114688,49152,65536,65536,24,1024,512,32768,13312,39936,13312
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,53,4,7,4411658,0.9494398832321167,0.2266218364238739,16384,8192,8192,4,3.0265039522200823,0.0,0.748534332960844,0.34683283790946007,1.9311367813497782,,,,131072,65536,65536,65536,32,1024,512,32768,13568,54272,13568
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,54,4,7,4411658,0.9473379850387573,0.22432424128055573,16384,8192,8192,4,3.3741609565913677,0.0,0.8594501428306103,0.3795233815908432,2.1351874321699142,,,,131072,65536,65536,65536,32,1024,512,32768,13824,55296,13824
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,55,5,7,4411658,0.9476562738418579,0.23086117208003998,16384,8192,8192,4,3.149978067725897,0.0,0.8576531112194061,0.414235619828105,1.8780893366783857,,,,147456,81920,65536,65536,40,1024,512,32768,14080,70400,14080
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,56,3,7,4411658,0.9490094780921936,0.21535465121269226,16384,8192,8192,4,2.9800196401774883,0.0,0.8130350410938263,0.29148120805621147,1.8755033910274506,,,,114688,49152,65536,65536,24,1024,512,32768,14336,43008,14336
reference_model_8192_samples,"Reference model, 8192 samples per role and task",,one_node_per_level,1,0,32,2383370,integrator_uniform_replay,57,4,7,4411658,0.9464089870452881,0.22106167674064636,16384,8192,8192,4,3.0806480646133423,0.0,0.8336273655295372,0.3423810601234436,1.9046396389603615,,,,131072,65536,65536,65536,32,1024,512,32768,14592,58368,14592
