condition,label,rank,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
rank_8,Joint-IID LoRA rank 8,8,169,1.6547241638350054,0.6079567835237184,fairy,17771,1.6738119995001701
rank_8,Joint-IID LoRA rank 8,8,141,1.7068058605538028,0.6082570025222355,train,15066,1.6949553807449897
rank_8,Joint-IID LoRA rank 8,8,117,1.3096637812681842,0.6413223140495867,cow,11495,1.371493129524888
rank_8,Joint-IID LoRA rank 8,8,138,1.3907459656931067,0.6254880251733582,wheel,17161,1.4484495560360582
rank_8,Joint-IID LoRA rank 8,8,115,1.4261849864409426,0.6379474733466239,monkey,11537,1.463813739415212
rank_8,Joint-IID LoRA rank 8,8,82,1.7170989392560312,0.5827959226128563,princess,9614,1.7121676372990728
rank_8,Joint-IID LoRA rank 8,8,94,1.6871283271648596,0.6031268207418916,plane,10298,1.6783706568865944
rank_8,Joint-IID LoRA rank 8,8,97,1.4545967005764353,0.638462376129805,elephant,9183,1.4808127863220462
rank_8,Joint-IID LoRA rank 8,8,88,1.5460567255955462,0.6027000964320154,neighbor,10370,1.6025104037533615
rank_8,Joint-IID LoRA rank 8,8,84,1.5077997211654304,0.6116494516025982,dragon,9391,1.5592180819141257
rank_8,Joint-IID LoRA rank 8,8,81,1.5224468303171401,0.6108135044225738,queen,8027,1.5626436037843219
rank_8,Joint-IID LoRA rank 8,8,79,1.4987120357096924,0.6110407698151431,horse,7898,1.7182536549313396
rank_8,Joint-IID LoRA rank 8,8,67,1.4084436341450979,0.6205228955720115,bus,6617,1.4485453579277003
rank_16,Joint-IID LoRA rank 16,16,404,1.5056432396343526,0.6309905422947519,mouse,37747,1.536154201641068
rank_16,Joint-IID LoRA rank 16,16,413,1.6350822525080357,0.6100015643739897,rabbit,38354,1.6632024492046076
rank_16,Joint-IID LoRA rank 16,16,343,1.6499025762294621,0.6134393514187715,boat,32070,1.6763413230615276
rank_16,Joint-IID LoRA rank 16,16,329,1.4929117667344907,0.610003236487664,brother,40167,1.5293379877722817
rank_16,Joint-IID LoRA rank 16,16,287,1.9028146575149802,0.5506632108553133,parent,32795,1.8908338902545132
rank_16,Joint-IID LoRA rank 16,16,272,1.3795695462370525,0.6335861476817402,duck,27952,1.4537948355650179
rank_16,Joint-IID LoRA rank 16,16,277,1.37773651394049,0.6291903206368336,sister,31531,1.4203717445828914
rank_16,Joint-IID LoRA rank 16,16,262,1.4603133703434,0.6116903827281649,pet,32608,1.5108963565807698
rank_16,Joint-IID LoRA rank 16,16,172,1.562717605627733,0.6100855235711306,bicycle,19176,1.6130556175496908
rank_16,Joint-IID LoRA rank 16,16,169,1.706285303911155,0.5786838023487703,grandma,22565,1.7297980449481256
rank_16,Joint-IID LoRA rank 16,16,160,1.6616566150937124,0.6100228337940151,lion,16642,1.6994183847729711
rank_16,Joint-IID LoRA rank 16,16,169,1.6573077501497786,0.6072252546283271,fairy,17771,1.6761515159450233
rank_16,Joint-IID LoRA rank 16,16,141,1.7092094586140942,0.6069958847736625,train,15066,1.6974169770259393
rank_16,Joint-IID LoRA rank 16,16,117,1.3126556428214424,0.6437581557198782,cow,11495,1.3751293023703874
