backward_transfer,best_story_mean_nll,final_forgetting,final_stage,final_story_mean_nll,first_evaluated_stage,first_story_mean_nll,method,order,task_id,worst_forgetting
0.0,1.807399733870337,0.0,192,1.807399733870337,16,1.807399733870337,base,round_robin,grandma,0.0
0.0,1.5334033774227696,0.0,192,1.5334033774227696,24,1.5334033774227696,base,round_robin,horse,0.0
0.0,1.7383042489762925,0.0,192,1.7383042489762925,16,1.7383042489762925,base,round_robin,lion,0.0
0.0,1.4603773328362861,0.0,192,1.4603773328362861,16,1.4603773328362861,base,round_robin,monkey,0.0
0.0,1.5681111191538926,0.0,192,1.5681111191538926,8,1.5681111191538926,base,round_robin,mouse,0.0
0.0,1.5944502812194352,0.0,192,1.5944502812194352,24,1.5944502812194352,base,round_robin,neighbor,0.0
0.0,1.9735935034703833,0.0,192,1.9735935034703833,8,1.9735935034703833,base,round_robin,parent,0.0
0.0,1.508625959699853,0.0,192,1.508625959699853,8,1.508625959699853,base,round_robin,pet,0.0
0.0,1.7492415784668711,0.0,192,1.7492415784668711,24,1.7492415784668711,base,round_robin,plane,0.0
0.0,1.7532519157718076,0.0,192,1.7532519157718076,24,1.7532519157718076,base,round_robin,princess,0.0
0.0,1.578107030274406,0.0,192,1.578107030274406,24,1.578107030274406,base,round_robin,queen,0.0
0.0,1.6711864763961828,0.0,192,1.6711864763961828,8,1.6711864763961828,base,round_robin,rabbit,0.0
0.0,1.4434778862404802,0.0,192,1.4434778862404802,8,1.4434778862404802,base,round_robin,sister,0.0
0.0,1.7906141760059076,0.0,192,1.7906141760059076,16,1.7906141760059076,base,round_robin,train,0.0
0.0,1.5136834581354492,0.0,192,1.5136834581354492,16,1.5136834581354492,base,round_robin,wheel,0.0
0.023882918486369142,1.5868233191068506,0.0009635172270603398,192,1.587786836333911,16,1.61166975482028,log_t,round_robin,bicycle,0.024846435713429482
0.021755624374828697,1.6705176346344726,0.0,192,1.6705176346344726,8,1.6922732590093013,log_t,round_robin,boat,0.03125810435713339
0.024637388615672773,1.527554992355753,2.7638667857710075e-05,192,1.5275826310236107,8,1.5522200196392835,log_t,round_robin,brother,0.024665027283530483
0.008643602805910255,1.4235173810266673,0.005969419305280388,192,1.4294868003319476,24,1.438130403137858,log_t,round_robin,bus,0.029887387186821046
0.019845416192016962,1.3399708683880736,0.0050380754554812945,192,1.3450089438435548,16,1.3648543600355718,log_t,round_robin,cow,0.030353648962286872
0.023543955933647887,1.5762309582695713,0.010875551679637718,192,1.587106509949209,24,1.6106504658828569,log_t,round_robin,dragon,0.04678130231183131
0.0262273720908599,1.402080261086459,0.0028925789868967655,192,1.4049728400733557,8,1.4312002121642156,log_t,round_robin,duck,0.029119951077756667
0.02379938890853217,1.4885687410418906,0.0013645204273091682,192,1.4899332614691998,24,1.513732650377732,log_t,round_robin,elephant,0.030555996572964483
0.022745857088670052,1.7311695409291281,0.00318396208896754,192,1.7343535030180957,16,1.7570993601067657,log_t,round_robin,fairy,0.030088679606254498
0.03074617323358142,1.7341393121611708,0.0,192,1.7341393121611708,16,1.7648854853947522,log_t,round_robin,grandma,0.032589861634333195
0.013964074697583762,1.5127356177460838,0.004311307765993977,192,1.5170469255120778,24,1.5310110002096615,log_t,round_robin,horse,0.031954884364646885
0.029806513721863048,1.6916505359686762,0.0,192,1.6916505359686762,16,1.7214570496905393,log_t,round_robin,lion,0.03071302091933359
0.015523425094434051,1.4422473859419147,0.0,192,1.4422473859419147,16,1.4577708110363488,log_t,round_robin,monkey,0.022490231121939486
0.0313459391090154,1.5339615418808428,0.0,192,1.5339615418808428,8,1.5653074809898582,log_t,round_robin,mouse,0.0319070326787938
0.013734658392765109,1.5805222281993154,0.005357465569236997,192,1.5858796937685524,24,1.5996143521613175,log_t,round_robin,neighbor,0.02193661848322015
0.020412775398776395,1.942215282297918,0.00027794737238817646,192,1.9424932296703061,8,1.9629060050690825,log_t,round_robin,parent,0.030978652349612723
0.02642288701547768,1.4846242484570231,0.0,192,1.4846242484570231,8,1.5110471354725008,log_t,round_robin,pet,0.02642288701547768
0.009439925842224861,1.7133547579375215,0.008745903430085411,192,1.7221006613676069,24,1.7315405872098317,log_t,round_robin,plane,0.02300341542925488
0.015743702307066565,1.7354580528010377,0.0005137934725774063,192,1.7359718462736151,24,1.7517155485806817,log_t,round_robin,princess,0.024459889164539783
0.014710656367813213,1.5543086305061857,0.0,192,1.5543086305061857,24,1.569019286873999,log_t,round_robin,queen,0.01683164121754399
0.0257268408183029,1.6493310101851306,0.0,192,1.6493310101851306,8,1.6750578510034335,log_t,round_robin,rabbit,0.025783798367942756
0.017783588490180247,1.4127323982760485,0.005585480797174469,192,1.418317879073223,8,1.4361014675634032,log_t,round_robin,sister,0.02824779120634635
0.022581135972272737,1.7222313461606151,0.00476881923213246,192,1.7270001653927476,16,1.7495813013650203,log_t,round_robin,train,0.031397041629563915
0.015978793351465015,1.4121870783026167,0.004817389358457991,192,1.4170044676610747,16,1.4329832610125397,log_t,round_robin,wheel,0.020796182709923006
-0.008209452196296763,1.6543458812944491,0.014248542078616921,192,1.668594423373066,16,1.6603849711767693,sequential_lora,round_robin,bicycle,0.04020672567762329
-0.005664126772758182,1.7443280922679778,0.0654764608767604,192,1.8098045531447382,8,1.80414042637198,sequential_lora,round_robin,boat,0.08108730222296456
-0.01958585087101916,1.5591293193631663,0.04668133239710626,192,1.6058106517602726,8,1.5862248008892534,sequential_lora,round_robin,brother,0.06566955431380816
0.012302427306071229,1.434046691134192,0.004313521177505608,192,1.4383602123116976,24,1.4506626396177689,sequential_lora,round_robin,bus,0.3294513667445833
-0.06536372733866336,1.4249799138099926,0.07116107931669546,192,1.496140993126688,16,1.4307772657880247,sequential_lora,round_robin,cow,0.16683922171302878
-0.012015595797084888,1.6347181618696465,0.03817735698518865,192,1.6728955188548351,24,1.6608799230577502,sequential_lora,round_robin,dragon,0.1317349756489674
-0.05294480025713133,1.4514960728701327,0.07443435685778343,192,1.5259304297279161,8,1.4729856294707848,sequential_lora,round_robin,duck,0.09618347384230952
-0.0005068133393633101,1.5229965047308762,0.06576411384822256,192,1.5887606185790988,24,1.5882538052397355,sequential_lora,round_robin,elephant,0.06576411384822256
-0.0858998449963988,1.747840791499592,0.10540764364065702,192,1.853248435140249,16,1.7673485901438502,sequential_lora,round_robin,fairy,0.10540764364065702
-0.0208006342610072,1.8308681608152986,0.04886389579653594,192,1.8797320566118345,16,1.8589314223508273,sequential_lora,round_robin,grandma,0.06539166862226709
