delta,end_arrival,kind,left_signed_increment,level,order,parent_chunk_id,right_signed_increment,start_arrival
0.01462648256606669,96,validation,0.00044610942590517233,4,blocked,282e188f73d2512fc7abd1bc155e552f11513960aad7d622cbbe0e4c61b6570b,0.01462648256606669,81
0.013703512213924851,2,source,0.013703512213924851,1,blocked,2cd563c974235be220dc4842bbbd5321ff1fe42736be01a41997ebdc7c450125,0.012108747265913822,1
0.004378143469699891,2,validation,0.0004428082681229295,1,blocked,2cd563c974235be220dc4842bbbd5321ff1fe42736be01a41997ebdc7c450125,0.004378143469699891,1
0.03236288386854025,76,source,0.026847407573517692,2,blocked,2d6ecaa8151a44fdfcb6156da640d486a2f7f8fcfb2d18cbe646abc40bfe2379,0.03236288386854025,73
-0.0014771968359006407,76,validation,-0.0048689432655504294,2,blocked,2d6ecaa8151a44fdfcb6156da640d486a2f7f8fcfb2d18cbe646abc40bfe2379,-0.0014771968359006407,73
0.021250169330279345,58,source,0.013904799309172766,1,blocked,2eecafea0eff641ef54c0155b2f31848099c84231dd78ebd5a7b7adc9957d7ea,0.021250169330279345,57
0.003330202290452222,58,validation,0.003330202290452222,1,blocked,2eecafea0eff641ef54c0155b2f31848099c84231dd78ebd5a7b7adc9957d7ea,-0.01883810488958182,57
0.02709426868045973,24,source,0.024765926267566817,3,blocked,2f3c8d2a122ebe1078addcfd8bdb8baea59b4e86d83ca0c2cb5b27ed7d4b3086,0.02709426868045973,17
0.005455772927466684,24,validation,0.005455772927466684,3,blocked,2f3c8d2a122ebe1078addcfd8bdb8baea59b4e86d83ca0c2cb5b27ed7d4b3086,-0.012068939969894776,17
0.012671366232870351,140,source,0.011990325776389366,1,blocked,344d833eb812921494c5ab2fa16b8bd6f09fd1e03ecf66b8a15f61a87075cd10,0.012671366232870351,139
0.008976644283479995,140,validation,-0.0006121918042185648,1,blocked,344d833eb812921494c5ab2fa16b8bd6f09fd1e03ecf66b8a15f61a87075cd10,0.008976644283479995,139
0.024348849765924108,36,source,0.019738835362560492,1,blocked,357aaadf57b4ef667046b33f9200382551db09128228c240d2ad6385e6873d72,0.024348849765924108,35
0.01189189074034136,36,validation,0.0005778342419051619,1,blocked,357aaadf57b4ef667046b33f9200382551db09128228c240d2ad6385e6873d72,0.01189189074034136,35
0.013583345522629296,172,source,-0.013745541441182674,1,blocked,386d30f42e29bbbe8369a3e893380d25c389bb6c482b534632080c78c946b591,0.013583345522629296,171
0.0012488033217739059,172,validation,-0.002466571586971167,1,blocked,386d30f42e29bbbe8369a3e893380d25c389bb6c482b534632080c78c946b591,0.0012488033217739059,171
-0.007096037313987225,186,source,-0.00987327591567322,1,blocked,3aa06b91da3f5c08f3a0752716bc6514744fc682b8408b9114790825e01f24f5,-0.007096037313987225,185
0.003397438228498917,186,validation,0.001027917095698383,1,blocked,3aa06b91da3f5c08f3a0752716bc6514744fc682b8408b9114790825e01f24f5,0.003397438228498917,185
0.011097748783501782,142,source,0.011097748783501782,1,blocked,3af346169e65043c56aec1ba62b42ec3b0c76162d9c170fd6b989a14600819f5,0.008071314226273829,141
0.005979382011179091,142,validation,-0.01852889103506672,1,blocked,3af346169e65043c56aec1ba62b42ec3b0c76162d9c170fd6b989a14600819f5,0.005979382011179091,141
0.0255994886176322,180,source,0.0255994886176322,2,blocked,3b4f20c28a20d271ff1c82da20a6c4d88c5762c4aedc39447843679521860fc1,0.021476464137517033,177
-0.008680761268294646,180,validation,-0.014287594359874145,2,blocked,3b4f20c28a20d271ff1c82da20a6c4d88c5762c4aedc39447843679521860fc1,-0.008680761268294646,177
0.020367665668812318,62,source,-0.0057170324319444354,1,blocked,3b7fd8bcfe21d95d320e790f9d8dbb36368cbaaa6da275653df3ad9afc9209e8,0.020367665668812318,61
0.00552272542859078,62,validation,0.004595358109080738,1,blocked,3b7fd8bcfe21d95d320e790f9d8dbb36368cbaaa6da275653df3ad9afc9209e8,0.00552272542859078,61
0.027780487727623555,88,source,0.02714555459652675,3,blocked,40f147684f63edd36762f4bd6a32acbf28bb71bf2079e957763760d937920ed2,0.027780487727623555,81
-0.024275828937440073,88,validation,-0.032341272096088725,3,blocked,40f147684f63edd36762f4bd6a32acbf28bb71bf2079e957763760d937920ed2,-0.024275828937440073,81
-0.01414388824319457,190,source,-0.01414388824319457,1,blocked,41bc704803572d4aa3f3e0591a8cef1ca44a5137b18385a1c19f47734c75e142,-0.019726755707022207,189
0.007251157159416266,190,validation,0.006047514077317295,1,blocked,41bc704803572d4aa3f3e0591a8cef1ca44a5137b18385a1c19f47734c75e142,0.007251157159416266,189
0.02073227457509863,32,source,0.02073227457509863,1,blocked,4379446799ffa36eb2f30249e80a9715a87a944fb87c39fcf345944f5c2e362a,0.019457460653717895,31
0.005905213999466863,32,validation,-0.024505137663244803,1,blocked,4379446799ffa36eb2f30249e80a9715a87a944fb87c39fcf345944f5c2e362a,0.005905213999466863,31
0.010779579433884301,166,source,0.010779579433884301,1,blocked,454a6cf3b2c0a882b591ae1a35f8aabc6e474ab7771382b7099e19741111d43e,0.006428448585718006,165
-0.012004131569392616,166,validation,-0.012004131569392616,1,blocked,454a6cf3b2c0a882b591ae1a35f8aabc6e474ab7771382b7099e19741111d43e,-0.024642223610408243,165
0.028117863277245754,168,source,0.028117863277245754,2,blocked,45e708775672a740def248bb0ec7c398995031e47c5132b8bed72556d0701126,0.022884385381293178,165
-0.012971937254211863,168,validation,-0.012971937254211863,2,blocked,45e708775672a740def248bb0ec7c398995031e47c5132b8bed72556d0701126,-0.03453071944304953,165
