address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,task_id,token_count,token_mean_nll
0.0668693009118541,658,macro,,0.10157687657501781,,,sequential_lora,79320,,1.5443879166997718,blocked,192,329,1.6459647932747885,0.5867503174247517,brother,40167,1.671566905275406
0.6865671641791045,134,macro,,0.026674759375992788,,,sequential_lora,13034,,1.3976693690853126,blocked,192,67,1.4243441284613052,0.6173492519268551,bus,6617,1.4706541288830424
0.11965811965811966,234,macro,,0.09138918601570514,,,sequential_lora,22642,,1.5493571951973835,blocked,192,117,1.6407463812130891,0.6068725532840366,cow,11495,1.687184269483217
0.5,168,macro,,0.046416505676898645,,,sequential_lora,18534,,1.7068504543780783,blocked,192,84,1.7532669600549764,0.5715046320945586,dragon,9391,1.783120080693793
0.04044117647058824,544,macro,,0.1268625939318168,,,sequential_lora,55088,,1.4689477341038724,blocked,192,272,1.5958103280356895,0.6009945621064682,duck,27952,1.6642241877832615
0.041237113402061855,194,macro,,0.10956635288000385,,,sequential_lora,18058,,1.509001146722345,blocked,192,97,1.6185674996023482,0.6102580855929435,elephant,9183,1.6440091889680606
0.1301775147928994,338,macro,,0.08447382752460196,,,sequential_lora,35028,,1.7672877647798564,blocked,192,169,1.8517615923044597,0.582747172359462,fairy,17771,1.8620831435522696
0.023668639053254437,338,macro,,0.12268634901873737,,,sequential_lora,44598,,1.8066485266661503,blocked,192,169,1.9293348756848872,0.5510303567471748,grandma,22565,1.940743586664688
0.06329113924050633,158,macro,,0.09826751911812463,,,sequential_lora,15574,,1.5318705649739754,blocked,192,79,1.6301380840921003,0.6012914661939731,horse,7898,1.847469961501339
0.06875,320,macro,,0.1123649227220114,,,sequential_lora,32804,,1.7342940715923436,blocked,192,160,1.8466589943143539,0.5913952649921884,lion,16642,1.8717311483322894
0.02608695652173913,230,macro,,0.10394215251687136,,,sequential_lora,22730,,1.459945672985076,blocked,192,115,1.5638878255019466,0.6115107913669064,monkey,11537,1.603928662611168
0.05693069306930693,808,macro,,0.11756501206995938,,,sequential_lora,74282,,1.56609775616681,blocked,192,404,1.6836627682367686,0.6074919861181021,mouse,37747,1.7109602246122917
0.056818181818181816,176,macro,,0.09596236342065034,,,sequential_lora,20464,,1.5932999259342395,blocked,192,88,1.6892622893548905,0.5768563162970106,neighbor,10370,1.749042790329215
0.05226480836236934,574,macro,,0.09673660721676072,,,sequential_lora,64714,,1.9710585077198655,blocked,192,287,2.0677951149366285,0.53139198048483,parent,32795,2.0524360221994233
0.03435114503816794,524,macro,,0.10661890410473376,,,sequential_lora,64416,,1.5075285749146707,blocked,192,262,1.6141474790194037,0.589180569185476,pet,32608,1.6569087225962082
0.05319148936170213,188,macro,,0.11042611277742535,,,sequential_lora,20328,,1.7478435367222256,blocked,192,94,1.8582696494996518,0.583608467663624,plane,10298,1.8349010005092639
0.036585365853658534,164,macro,,0.12880954327017413,,,sequential_lora,18990,,1.7523831091133653,blocked,192,82,1.8811926523835387,0.5625130018722696,princess,9614,1.8632455730180322
0.07407407407407407,162,macro,,0.12313320714955042,,,sequential_lora,15806,,1.574621042321782,blocked,192,81,1.6977542494713325,0.5895104023919272,queen,8027,1.730039153640232
0.04600484261501211,826,macro,,0.12257358247194823,,,sequential_lora,75454,,1.6703024696914837,blocked,192,413,1.792876052163431,0.5884392762163008,rabbit,38354,1.8171903537828669
0.06859205776173286,554,macro,,0.09548118039429285,,,sequential_lora,62246,,1.4410090348394882,blocked,192,277,1.536490215233781,0.6047699089784656,sister,31531,1.5710243743386423
0.10638297872340426,282,macro,,0.10756930608459107,,,sequential_lora,29706,,1.7852071453714808,blocked,192,141,1.8927764514560743,0.5876808708349927,train,15066,1.8676529415223793
0.15217391304347827,276,macro,,0.08026900636184467,,,sequential_lora,33918,,1.5081480141455523,blocked,192,138,1.588417020507397,0.5977507138278655,wheel,17161,1.6221174948713273
0.36627906976744184,4300,final,0.7674418604651163,0.05843742075281604,3.214421060196189,0.12934896280599195,independent_noun_exhaustive,473000,0.7674418604651163,1.5158616204779605,offline,192,172,1.5742990412307756,0.611284939507718,bicycle,19176,1.6247351460025168
0.3848396501457726,8575,final,0.8250728862973761,0.05017204432978894,3.2122136684617915,0.1440870708001251,independent_noun_exhaustive,788825,0.8250728862973761,1.610948733410768,offline,192,343,1.661120777740556,0.6089179918927347,boat,32070,1.6877679283276206
0.22796352583586627,8225,final,0.662613981762918,0.07629742280159318,3.2161156660155323,0.05491704328444229,independent_noun_exhaustive,991500,0.662613981762918,1.4507767863032925,offline,192,329,1.5270742091048861,0.606617372469938,brother,40167,1.556970471414835
0.7313432835820896,1675,final,0.9850746268656716,0.024312178001590096,3.1630615298427753,0.6861832079602711,independent_noun_exhaustive,162925,0.9850746268656716,1.3624886277964527,offline,192,67,1.3868008057980434,0.6274746864137827,bus,6617,1.4379076436691203
0.5384615384615384,2925,final,0.9230769230769231,0.03526491827266014,3.1933861858824377,0.5347963948535104,independent_noun_exhaustive,283025,0.9230769230769231,1.2901010363218395,offline,192,117,1.3253659545944996,0.6403653762505437,cow,11495,1.3913893631822702
0.6428571428571429,2100,final,0.75,0.10642585805316752,3.206875815278008,0.3473793204341616,independent_noun_exhaustive,231675,0.75,1.4813103789712596,offline,192,84,1.587736237024428,0.6006815035672453,dragon,9391,1.6234338051746504
0.5220588235294118,6800,final,0.8492647058823529,0.05273539086329932,3.2115403887103584,0.24736852264579604,independent_noun_exhaustive,688600,0.8492647058823529,1.340967308509723,offline,192,272,1.3937026993730222,0.6312965082999428,duck,27952,1.4673445164372598
0.24742268041237114,2425,final,0.6391752577319587,0.08123954171177118,3.214097598164352,0.11046717031714842,independent_noun_exhaustive,225725,0.6391752577319587,1.4149400404365071,offline,192,97,1.4961795821482788,0.6347598823913754,elephant,9183,1.5232310199041739
0.27218934911242604,4225,final,0.46153846153846156,0.14545910186615674,3.216553515936496,0.056509614343473895,independent_noun_exhaustive,437850,0.46153846153846156,1.5850230439403241,offline,192,169,1.730482145806481,0.60013505148838,fairy,17771,1.7431194215692645
