active_adapter_bytes,active_adapter_count,address_candidate_count_including_base,amortized_optimizer_updates_per_arrival,archived_adapter_bytes,archived_adapter_count,arrival,carry_depth,cumulative_insertion_runtime_seconds,cumulative_optimizer_updates,insertion_optimizer_updates,insertion_runtime_seconds,order,source_shard_id,task_id
10695888,9,10,323.21311475409834,134292816,113,61,1,1076.2434202898294,19716,268,13.902036966755986,blocked,d242e5b3b5cace7b1f81c32eb3a9da228d7fe5130eecb3fdee1f8b0439a7802d,pet
11884320,10,11,319.4193548387097,135481248,114,62,0,1080.7773833107203,19804,88,4.533963020890951,blocked,17ded68f95b407940c8238d585d3a789dd3d97115c4d3a747a267ad1e8efa4e1,pet
7130592,6,7,391.55555555555554,142611840,120,63,5,1372.288972504437,24668,4864,291.51158919371665,blocked,0cb350f415520c1cad2d5e38c8af8738d16757f3856935db46e6ef308fd38f7b,pet
8319024,7,8,386.875,143800272,121,64,0,1377.0567365959287,24760,92,4.767764091491699,blocked,d32d2c1ffdb9efbe688a6aee0092d22c72b35840f3a6449212be6ba25cdd7eaf,pet
8319024,7,8,384.9846153846154,146177136,123,65,1,1390.6301753222942,25024,264,13.573438726365566,blocked,0b1d21f97a357eccd02f7e52ac89d3962fd1220c13d04cc7d2385f18889e703f,bicycle
9507456,8,9,380.3636363636364,147365568,124,66,0,1394.7637401744723,25104,80,4.133564852178097,blocked,61524ae54a99c01f7db8884d0a2ed2f06b9dfcf0b5d9f96b0ca2d8f1796373fd,bicycle
8319024,7,8,383.5820895522388,150930864,127,67,2,1426.2227450087667,25700,596,31.45900483429432,blocked,8c45359674523e87f0d4ae46f676800294419758bb79a2db6faecefe3a35632e,bicycle
9507456,8,9,379.1764705882353,152119296,128,68,0,1430.6286399308592,25784,84,4.405894922092557,blocked,7e643822dbea15c3b39ca83a3f97bc78ca9121c6c6bebf725762ee8737f0b5a5,bicycle
9507456,8,9,377.39130434782606,154496160,130,69,1,1443.8468242138624,26040,256,13.218184283003211,blocked,82a9770db6d90b8fcff0e0de3f6820e50f7fbb805edc7c14d60783ebff2f2147,bicycle
10695888,9,10,373.14285714285717,155684592,131,70,0,1448.0311742946506,26120,80,4.1843500807881355,blocked,2c9fb5f56d0a800904579eb7b161134fed00617a367a5a48a241d142b2c628fe,bicycle
8319024,7,8,385.85915492957747,160438320,135,71,3,1516.1749351415783,27396,1276,68.14376084692776,blocked,faf92f0950c170229964bbbb346641e40fcb4c3d6e623e3cb76da32169a74a07,bicycle
9507456,8,9,381.6666666666667,161626752,136,72,0,1520.5773636158556,27480,84,4.402428474277258,blocked,9cde97a8cf763fcf3743c89d64623e95970ed755bcbc16717750c74f1641789a,bicycle
9507456,8,9,380.05479452054794,164003616,138,73,1,1534.3487653527409,27744,264,13.77140173688531,blocked,c89bc132fb87f0bc6239f2566258fec0db319a58597b2b0523b5d22e39408094,grandma
10695888,9,10,376.2162162162162,165192048,139,74,0,1539.3621294870973,27840,96,5.0133641343563795,blocked,7d81baacc04c93e8a6f33b19fa5c224a77a98bf689762a436c9257f1fdc2f284,grandma
9507456,8,9,379.36,168757344,142,75,2,1571.411627408117,28452,612,32.04949792101979,blocked,e7276227c9bd097b51179a0ae6a58db268fffb2e345cf847eaa01e653f6f59f7,grandma
10695888,9,10,375.63157894736844,169945776,143,76,0,1576.4580705631524,28548,96,5.0464431550353765,blocked,af334d0cc1926edec238d2de96b9db9fe49bf0486f542f71931d2c107b206bb7,grandma
10695888,9,10,374.38961038961037,172322640,145,77,1,1591.381612462923,28828,280,14.923541899770498,blocked,5b357942b0f132db7338b34624a5900cc283e7bef05f74e1621fecfb5a7b7d50,grandma
11884320,10,11,370.7692307692308,173511072,146,78,0,1596.1894449777901,28920,92,4.8078325148671865,blocked,725186b2ee587d43a83cb76fbc2f0fe4aea99605ae5df206055246771d54a7b5,grandma
8319024,7,8,399.54430379746833,179453232,151,79,4,1743.720351472497,31564,2644,147.53090649470687,blocked,72e9bf10f5cbb14fbee86fd88a97848a9be4cea73f1ecae9808b67073da626e6,grandma
9507456,8,9,395.75,180641664,152,80,0,1748.7633310165256,31660,96,5.04297954402864,blocked,e068c6e76ec6e4a0efc5cb62166fec12386f7f92cc03eb6c61b6e3a6e035f9fc,grandma
9507456,8,9,394.17283950617286,183018528,154,81,1,1762.7800613734871,31928,268,14.016730356961489,blocked,7040727c6dc468e73ab8e0b14ffb50faf331507b29976752db6a1d77bfb2df5e,lion
