address_oracle_agreement,candidate_evaluations,dataset,exact_noun_route_accuracy,mean_oracle_regret,mean_prefix_entropy,mean_prefix_margin,method,model_forward_equivalent_prefix_tokens,noun_support_accuracy,oracle_story_mean_nll,order,stage,story_count,story_mean_nll,suffix_token_accuracy,token_count,token_mean_nll
0.375,64,sentinel,,0.04926992550730036,,,sequential_lora,6102,,1.6425231299565621,blocked,10,32,1.6917930554638623,0.6006451612903225,3100,1.7201173634682931
1.0,32,sentinel,,0.0,,,base,3051,,1.6656692940065971,blocked,11,32,1.6656692940065971,0.6064516129032258,3100,1.6882472302836757
0.28125,160,sentinel,,0.04936589294113275,1.6069976426661015,0.026421425864100456,log_t,15255,0.78125,1.6028807236759834,blocked,11,32,1.6522466166171164,0.6112903225806452,3100,1.6776073234311997
0.34375,64,sentinel,,0.03883434957994521,,,sequential_lora,6102,,1.6405270067390805,blocked,11,32,1.679361356319026,0.6035483870967742,3100,1.70489748062626
1.0,32,sentinel,,0.0,,,base,3051,,1.6656692940065971,blocked,12,32,1.6656692940065971,0.6064516129032258,3100,1.6882472302836757
0.375,192,sentinel,,0.04605796727469839,1.7895312830805779,0.025584494695067406,log_t,18306,0.78125,1.5989750928665662,blocked,12,32,1.6450330601412646,0.6119354838709677,3100,1.6712629970427482
0.3125,64,sentinel,,0.036349000798974684,,,sequential_lora,6102,,1.6381109915628354,blocked,12,32,1.6744599923618102,0.6067741935483871,3100,1.700847436228106
1.0,32,sentinel,,0.0,,,base,3051,,1.6656692940065971,blocked,13,32,1.6656692940065971,0.6064516129032258,3100,1.6882472302836757
0.25,192,sentinel,,0.05360124028116877,1.7892908714711666,0.027891170233488083,log_t,18306,0.78125,1.5980211580740558,blocked,13,32,1.6516223983552247,0.6064516129032259,3100,1.6780328442973476
0.46875,64,sentinel,,0.03523028666803075,,,sequential_lora,6102,,1.637605488606355,blocked,13,32,1.6728357752743857,0.6074193548387097,3100,1.6995862923899006
1.0,32,sentinel,,0.0,,,base,3051,,1.6656692940065971,blocked,14,32,1.6656692940065971,0.6064516129032258,3100,1.6882472302836757
0.25,224,sentinel,,0.048128916883931325,1.943603664636612,0.026891250163316727,log_t,21357,0.75,1.5977191936450958,blocked,14,32,1.6458481105290272,0.6106451612903225,3100,1.6733649543023879
0.3125,64,sentinel,,0.04495361345755736,,,sequential_lora,6102,,1.6450059423947816,blocked,14,32,1.6899595558523388,0.6012903225806452,3100,1.7184608582527408
1.0,32,sentinel,,0.0,,,base,3051,,1.6656692940065971,blocked,15,32,1.6656692940065971,0.6064516129032258,3100,1.6882472302836757
0.34375,160,sentinel,,0.04378157056802362,1.6065606139600277,0.048259660601615906,log_t,15255,0.65625,1.5972334700043782,blocked,15,32,1.641015040572402,0.6125806451612903,3100,1.6661431860154674
0.375,64,sentinel,,0.04032683773790393,,,sequential_lora,6102,,1.6397544810255793,blocked,15,32,1.6800813187634833,0.6058064516129033,3100,1.707081542476531
1.0,32,sentinel,,0.0,,,base,3051,,1.6656692940065971,blocked,16,32,1.6656692940065971,0.6064516129032258,3100,1.6882472302836757
0.3125,192,sentinel,,0.04338486216642612,1.7892264984548092,0.04446545988321304,log_t,18306,0.6875,1.5946656632108025,blocked,16,32,1.6380505253772286,0.6112903225806452,3100,1.6638435929821385
0.375,64,sentinel,,0.04251130310653774,,,sequential_lora,6102,,1.6430558892413043,blocked,16,32,1.6855671923478424,0.5980645161290322,3100,1.7132650732224988
1.0,48,sentinel,,0.0,,,base,4532,,1.6397878804619792,blocked,17,48,1.6397878804619792,0.6144656820156386,4604,1.677223580076216
0.4375,288,sentinel,,0.03800676444651033,1.7874802922209103,0.07958242545525233,log_t,27192,0.75,1.5775211160764984,blocked,17,48,1.6155278805230087,0.615768896611642,4604,1.6554333606458145
0.2708333333333333,96,sentinel,,0.04992399480089401,,,sequential_lora,9064,,1.6185206848621123,blocked,17,48,1.6684446796630066,0.6055603822762815,4604,1.7105081274030935
1.0,48,sentinel,,0.0,,,base,4532,,1.6397878804619792,blocked,18,48,1.6397878804619792,0.6144656820156386,4604,1.677223580076216
0.3958333333333333,336,sentinel,,0.04474910961746931,1.9408606141805649,0.039444765696922936,log_t,31724,0.7708333333333334,1.5704294969224193,blocked,18,48,1.6151786065398885,0.6149000868809731,4604,1.6586745077376777
0.3125,96,sentinel,,0.052176459125887496,,,sequential_lora,9064,,1.6186142121709277,blocked,18,48,1.6707906712968155,0.605994787141616,4604,1.7138102267950541
1.0,48,sentinel,,0.0,,,base,4532,,1.6397878804619792,blocked,19,48,1.6397878804619792,0.6144656820156386,4604,1.677223580076216
0.3125,288,sentinel,,0.03471788985444976,1.7854316805799801,0.05130034933487574,log_t,27192,0.7708333333333334,1.5787513675476832,blocked,19,48,1.613469257402133,0.614031277150304,4604,1.6534839480157317
0.1875,96,sentinel,,0.07328739222854382,,,sequential_lora,9064,,1.6207613142477442,blocked,19,48,1.6940487064762884,0.6020851433536055,4604,1.7374254735421348
1.0,48,sentinel,,0.0,,,base,4532,,1.6397878804619792,blocked,20,48,1.6397878804619792,0.6144656820156386,4604,1.677223580076216
0.25,336,sentinel,,0.04044313020030338,1.9398001556595166,0.04881760353843371,log_t,31724,0.7708333333333334,1.576471089115102,blocked,20,48,1.6169142193154054,0.6118592528236316,4604,1.657982607906948
0.25,96,sentinel,,0.054776637207297064,,,sequential_lora,9064,,1.617374741915521,blocked,20,48,1.6721513791228186,0.6096872284969591,4604,1.7167801943993588
1.0,48,sentinel,,0.0,,,base,4532,,1.6397878804619792,blocked,21,48,1.6397878804619792,0.6144656820156386,4604,1.677223580076216
0.3125,336,sentinel,,0.038366515584321435,1.9398153225580852,0.04352209344506264,log_t,31724,0.7708333333333334,1.5752495392131445,blocked,21,48,1.6136160547974658,0.6153344917463076,4604,1.653341366662656
0.3125,96,sentinel,,0.05653837483724445,,,sequential_lora,9064,,1.6159129078522358,blocked,21,48,1.6724512826894802,0.6005647263249348,4604,1.717195286738365
1.0,48,sentinel,,0.0,,,base,4532,,1.6397878804619792,blocked,22,48,1.6397878804619792,0.6144656820156386,4604,1.677223580076216
0.3125,384,sentinel,,0.04086370537672467,2.073630372683207,0.04190463696916898,log_t,36256,0.7916666666666666,1.572928805995928,blocked,22,48,1.6137925113726528,0.6149000868809731,4604,1.6534649797567174
0.25,96,sentinel,,0.05776395866390069,,,sequential_lora,9064,,1.6151792424744045,blocked,22,48,1.6729432011383054,0.5994787141615986,4604,1.7190063594218237
1.0,48,sentinel,,0.0,,,base,4532,,1.6397878804619792,blocked,23,48,1.6397878804619792,0.6144656820156386,4604,1.677223580076216
0.3333333333333333,288,sentinel,,0.032117572035894305,1.785847877462705,0.05778269718090693,log_t,27192,0.7291666666666666,1.5753946213952885,blocked,23,48,1.6075121934311827,0.6138140747176368,4604,1.6490692968061962
0.22916666666666666,96,sentinel,,0.06372580171537907,,,sequential_lora,9064,,1.6232353063516378,blocked,23,48,1.6869611080670168,0.5962206776715899,4604,1.730454081146744
1.0,48,sentinel,,0.0,,,base,4532,,1.6397878804619792,blocked,24,48,1.6397878804619792,0.6144656820156386,4604,1.677223580076216
0.2708333333333333,336,sentinel,,0.032213957620522274,1.9402658318479855,0.05514374375343323,log_t,31724,0.7291666666666666,1.573400781390429,blocked,24,48,1.6056147390109512,0.6153344917463076,4604,1.6473369486532865
0.3125,96,sentinel,,0.06670083421285415,,,sequential_lora,9064,,1.6193846579937998,blocked,24,48,1.6860854922066542,0.5973066898349262,4604,1.730963393773958
1.0,64,sentinel,,0.0,,,base,6456,,1.6481743860912563,blocked,25,64,1.6481743860912563,0.6123912711735083,6553,1.6556434986446897
0.328125,448,sentinel,,0.03879915855450485,1.9401614163070917,0.06442462094128132,log_t,45192,0.734375,1.5889087092786514,blocked,25,64,1.627707867833156,0.612543873035251,6553,1.6402743659855554
0.28125,128,sentinel,,0.05719663774481143,,,sequential_lora,12912,,1.6260387212621459,blocked,25,64,1.6832353590069573,0.6026247520219746,6553,1.697073849870579
1.0,64,sentinel,,0.0,,,base,6456,,1.6481743860912563,blocked,26,64,1.6481743860912563,0.6123912711735083,6553,1.6556434986446897
0.296875,512,sentinel,,0.041491354720201296,2.0733970142900944,0.048578307032585144,log_t,51648,0.734375,1.5841902272880886,blocked,26,64,1.6256815820082897,0.612543873035251,6553,1.6372929707967687
0.265625,128,sentinel,,0.05593755930790749,,,sequential_lora,12912,,1.6323635043227518,blocked,26,64,1.6883010636306595,0.6018617427132611,6553,1.7008886955793296
1.0,64,sentinel,,0.0,,,base,6456,,1.6481743860912563,blocked,27,64,1.6481743860912563,0.6123912711735083,6553,1.6556434986446897
0.296875,448,sentinel,,0.04811350938671446,1.939835162833333,0.050442795269191265,log_t,45192,0.734375,1.579874439132608,blocked,27,64,1.6279879485193223,0.6091866320769114,6553,1.6403536567356174
