accuracy,stage,task
62.39316463470459,35,23
67.44186282157898,35,24
63.07692527770996,35,25
73.98374080657959,35,26
65.48672318458557,35,27
78.43137383460999,35,28
64.0350878238678,35,29
74.76635575294495,35,30
73.68420958518982,35,31
63.10679316520691,35,32
76.57657861709595,35,33
71.42857313156128,35,34
80.85106611251831,35,35
71.18644118309021,36,1
69.9999988079071,36,2
70.54794430732727,36,3
77.27272510528564,36,4
75.78125,36,5
75.83333253860474,36,6
63.4782612323761,36,7
77.44361162185669,36,8
61.94030046463013,36,9
71.01449370384216,36,10
68.00000071525574,36,11
64.65517282485962,36,12
74.8031497001648,36,13
71.96969985961914,36,14
67.24137663841248,36,15
66.91729426383972,36,16
73.01587462425232,36,17
79.24528121948242,36,18
71.55963182449341,36,19
62.37623691558838,36,20
80.55555820465088,36,21
69.16666626930237,36,22
70.08547186851501,36,23
67.44186282157898,36,24
67.69230961799622,36,25
77.2357702255249,36,26
64.60176706314087,36,27
81.3725471496582,36,28
67.54385828971863,36,29
73.36448431015015,36,30
74.56140518188477,36,31
62.13592290878296,36,32
72.972971200943,36,33
78.57142686843872,36,34
65.2482271194458,36,35
87.01298832893372,36,36
78.81355881690979,37,1
72.30769395828247,37,2
63.01369667053223,37,3
76.13636255264282,37,4
77.34375,37,5
75.0,37,6
60.00000238418579,37,7
75.93985199928284,37,8
63.43283653259277,37,9
71.01449370384216,37,10
58.99999737739563,37,11
60.34482717514038,37,12
73.22834730148315,37,13
74.24242496490479,37,14
62.931036949157715,37,15
65.41353464126587,37,16
70.63491940498352,37,17
79.24528121948242,37,18
65.13761281967163,37,19
59.405940771102905,37,20
77.08333134651184,37,21
66.66666865348816,37,22
71.79487347602844,37,23
62.79069781303406,37,24
69.2307710647583,37,25
73.98374080657959,37,26
63.716816902160645,37,27
79.41176295280457,37,28
60.52631735801697,37,29
72.89719581604004,37,30
74.56140518188477,37,31
54.36893105506897,37,32
67.56756901741028,37,33
57.14285969734192,37,34
64.53900933265686,37,35
74.67532753944397,37,36
75.15923380851746,37,37
66.10169410705566,38,1
72.30769395828247,38,2
65.75342416763306,38,3
74.43181872367859,38,4
76.5625,38,5
75.0,38,6
60.00000238418579,38,7
78.19548845291138,38,8
61.194032430648804,38,9
72.46376872062683,38,10
64.99999761581421,38,11
61.20689511299133,38,12
70.07874250411987,38,13
70.45454382896423,38,14
60.34482717514038,38,15
62.406015396118164,38,16
73.8095223903656,38,17
78.30188870429993,38,18
62.38532066345215,38,19
63.36633563041687,38,20
80.55555820465088,38,21
64.99999761581421,38,22
61.538463830947876,38,23
58.139532804489136,38,24
66.15384817123413,38,25
72.35772609710693,38,26
67.25663542747498,38,27
78.43137383460999,38,28
63.15789222717285,38,29
68.22429895401001,38,30
74.56140518188477,38,31
60.19417643547058,38,32
70.27027010917664,38,33
71.42857313156128,38,34
68.79432797431946,38,35
72.72727489471436,38,36
63.05732727050781,38,37
90.20978808403015,38,38
71.18644118309021,39,1
71.53846025466919,39,2
63.69863152503967,39,3
68.75,39,4
72.65625,39,5
72.50000238418579,39,6
63.4782612323761,39,7
77.44361162185669,39,8
58.20895433425903,39,9
71.7391312122345,39,10
57.999998331069946,39,11
62.068963050842285,39,12
72.44094610214233,39,13
66.66666865348816,39,14
59.48275923728943,39,15
63.90977501869202,39,16
68.2539701461792,39,17
76.41509175300598,39,18
63.30274939537048,39,19
62.37623691558838,39,20
76.38888955116272,39,21
64.99999761581421,39,22
65.81196784973145,39,23
65.11628031730652,39,24
67.69230961799622,39,25
