condition_id,inference_condition,architecture,maintenance,router_seed,split,stage,task,examples,routed_accuracy,oracle_accuracy,selection_accuracy
A2,I-U100,r1,flat_full,1993,validation,50,8,105,71.42857142857143,98.09523809523809,72.38095238095238
A2,I-U100,r1,flat_full,1993,validation,50,9,109,78.89908256880734,100.0,78.89908256880734
A2,I-U100,r1,flat_full,1993,validation,50,10,79,54.43037974683544,93.67088607594937,56.9620253164557
A2,I-U100,r1,flat_full,1993,validation,50,11,93,58.06451612903226,98.9247311827957,59.13978494623656
A2,I-U100,r1,flat_full,1993,validation,50,12,102,62.745098039215684,99.01960784313727,62.745098039215684
A2,I-U100,r1,flat_full,1993,validation,50,13,106,68.86792452830188,100.0,68.86792452830188
A2,I-U100,r1,flat_full,1993,validation,50,14,93,72.04301075268818,94.6236559139785,76.34408602150538
A2,I-U100,r1,flat_full,1993,validation,50,15,106,66.98113207547169,93.39622641509435,70.75471698113208
A2,I-U100,r1,flat_full,1993,validation,50,16,99,59.59595959595959,96.96969696969697,61.61616161616161
A2,I-U100,r1,flat_full,1993,validation,50,17,85,51.76470588235295,95.29411764705881,55.294117647058826
A2,I-U100,r1,flat_full,1993,validation,50,18,87,70.11494252873564,98.85057471264368,71.26436781609196
A2,I-U100,r1,flat_full,1993,validation,50,19,82,67.07317073170732,100.0,67.07317073170732
A2,I-U100,r1,flat_full,1993,validation,50,20,116,64.65517241379311,94.82758620689656,66.37931034482759
A2,I-U100,r1,flat_full,1993,validation,50,21,96,64.58333333333334,97.91666666666666,64.58333333333334
A2,I-U100,r1,flat_full,1993,validation,50,22,94,55.319148936170215,93.61702127659575,57.446808510638306
A2,I-U100,r1,flat_full,1993,validation,50,23,70,62.857142857142854,98.57142857142858,64.28571428571429
A2,I-U100,r1,flat_full,1993,validation,50,24,53,64.15094339622641,98.11320754716981,64.15094339622641
A2,I-U100,r1,flat_full,1993,validation,50,25,99,61.61616161616161,98.98989898989899,61.61616161616161
A2,I-U100,r1,flat_full,1993,validation,50,26,91,58.24175824175825,95.6043956043956,59.34065934065934
A2,I-U100,r1,flat_full,1993,validation,50,27,81,60.49382716049383,97.53086419753086,60.49382716049383
A2,I-U100,r1,flat_full,1993,validation,50,28,92,55.434782608695656,98.91304347826086,55.434782608695656
A2,I-U100,r1,flat_full,1993,validation,50,29,171,64.91228070175438,98.24561403508771,64.91228070175438
A2,I-U100,r1,flat_full,1993,validation,50,30,91,59.34065934065934,98.9010989010989,59.34065934065934
A2,I-U100,r1,flat_full,1993,validation,50,31,82,60.97560975609756,97.5609756097561,63.41463414634146
A2,I-U100,r1,flat_full,1993,validation,50,32,89,58.42696629213483,100.0,58.42696629213483
A2,I-U100,r1,flat_full,1993,validation,50,33,57,49.122807017543856,96.49122807017544,49.122807017543856
A2,I-U100,r1,flat_full,1993,validation,50,34,112,47.32142857142857,98.21428571428571,47.32142857142857
A2,I-U100,r1,flat_full,1993,validation,50,35,123,58.536585365853654,100.0,58.536585365853654
A2,I-U100,r1,flat_full,1993,validation,50,36,126,32.53968253968254,96.82539682539682,32.53968253968254
A2,I-U100,r1,flat_full,1993,validation,50,37,114,55.26315789473685,96.49122807017544,57.01754385964912
A2,I-U100,r1,flat_full,1993,validation,50,38,92,41.30434782608695,97.82608695652173,42.391304347826086
