accuracy,condition,score_mode,stage,task
91.37930870056152,logt_retrain_union_r16,true_node_oracle,13,11
96.0629940032959,logt_retrain_union_r16,true_node_oracle,13,12
79.6610176563263,logt_retrain_union_r16,centroid_router,13,0
73.07692170143127,logt_retrain_union_r16,centroid_router,13,1
70.54794430732727,logt_retrain_union_r16,centroid_router,13,2
79.54545617103577,logt_retrain_union_r16,centroid_router,13,3
62.5,logt_retrain_union_r16,centroid_router,13,4
69.16666626930237,logt_retrain_union_r16,centroid_router,13,5
62.6086950302124,logt_retrain_union_r16,centroid_router,13,6
76.69172883033752,logt_retrain_union_r16,centroid_router,13,7
65.67164063453674,logt_retrain_union_r16,centroid_router,13,8
60.86956262588501,logt_retrain_union_r16,centroid_router,13,9
68.99999976158142,logt_retrain_union_r16,centroid_router,13,10
62.931036949157715,logt_retrain_union_r16,centroid_router,13,11
77.16535329818726,logt_retrain_union_r16,centroid_router,13,12
77.96609997749329,logt_retrain_union_r16,raw,14,0
68.46153736114502,logt_retrain_union_r16,raw,14,1
74.65753555297852,logt_retrain_union_r16,raw,14,2
73.86363744735718,logt_retrain_union_r16,raw,14,3
77.34375,logt_retrain_union_r16,raw,14,4
71.66666388511658,logt_retrain_union_r16,raw,14,5
63.4782612323761,logt_retrain_union_r16,raw,14,6
84.21052694320679,logt_retrain_union_r16,raw,14,7
67.16417670249939,logt_retrain_union_r16,raw,14,8
65.21739363670349,logt_retrain_union_r16,raw,14,9
62.99999952316284,logt_retrain_union_r16,raw,14,10
66.37930870056152,logt_retrain_union_r16,raw,14,11
80.31495809555054,logt_retrain_union_r16,raw,14,12
56.81818127632141,logt_retrain_union_r16,raw,14,13
72.88135886192322,logt_retrain_union_r16,cosine,14,0
67.69230961799622,logt_retrain_union_r16,cosine,14,1
69.17808055877686,logt_retrain_union_r16,cosine,14,2
71.59090638160706,logt_retrain_union_r16,cosine,14,3
71.875,logt_retrain_union_r16,cosine,14,4
74.16666746139526,logt_retrain_union_r16,cosine,14,5
60.00000238418579,logt_retrain_union_r16,cosine,14,6
