condition,method,capacity,stage,accuracy,nll,current_examples,historical_available,introductions,current_reviews,historical_reviews,actual_historical_fraction,actual_historical_fraction_after_introduction,target_historical_fraction_after_introduction,training_forwards,training_backwards,quality_forwards,recompute_forwards,optimizer_steps,mean_batch_size,minimum_batch_size,full_batch_fraction,cumulative_presentations,cumulative_optimizer_steps,training_wall_seconds,cumulative_training_wall_seconds,evaluation_forwards,evaluation_wall_seconds,cumulative_evaluation_wall_seconds,loader_wall_seconds,scheduler_wall_seconds,checkpoint_wall_seconds,peak_vram_bytes,clock_advance,final_clock,historical_due,current_due,never_historically_replayed,quality_0_count,quality_1_count,quality_2_count,quality_3_count,quality_4_count,quality_5_count
srt_h4096,srt,4096,31,79.69077568134172,0.969033957307337,458,14785,458,5259,12499,0.6861550285463329,0.7038517851109359,0.5,18216,18216,0,0,286,63.69230769230769,10,0.993006993006993,498316,7824,52.35689719952643,1396.2154795508832,3816,8.59438270330429,137.1694965492934,19.02929979749024,1.6713829394429922,2.295205906033516,4195159552,0,7825,6799.0,12.0,844,2668.0,876.0,1491.0,1234.0,1815.0,10132.0
srt_h4096,srt,4096,32,79.51007910181168,0.9685409996674227,408,15243,408,5242,12366,0.6863898756660746,0.7022944116310768,0.5,18016,18016,0,0,283,63.66077738515901,8,0.9929328621908127,516332,8107,52.56875624880195,1448.7842357996851,3919,8.8048255443573,145.9743220936507,19.499273782595992,1.8473778273910284,2.2338417265564203,4195184128,0,8108,7140.0,20.0,723,2740.0,1002.0,1513.0,1274.0,1886.0,9601.0
srt_h4096,srt,4096,33,79.72704714640199,0.9923961275441965,443,15651,443,4706,13007,0.7164022912535801,0.7343194264099814,0.5,18156,18156,0,0,284,63.929577464788736,49,0.9929577464788732,534488,8391,51.45160233601928,1500.2358381357044,4030,9.013313218951225,154.98763531260192,18.328690269961953,1.9186829030513763,1.9304380901157856,4195209728,0,8392,7319.0,10.0,676,2515.0,876.0,1470.0,1228.0,1852.0,10215.0
srt_h4096,srt,4096,34,78.73170731707317,0.9942443166738419,282,16094,282,3468,13762,0.7858611238008223,0.7987231572838073,0.5,17512,17512,0,0,275,63.68,14,0.9927272727272727,552000,8666,50.66877386905253,1550.904612004757,4100,9.054463602602482,164.0420989152044,18.12116764485836,1.786052843555808,2.5366939771920443,4195234304,0,8667,7344.0,1.0,543,2496.0,925.0,1464.0,1253.0,1790.0,9584.0
srt_h4096,srt,4096,35,78.04763027587833,1.0085689998464755,563,16376,563,6367,11706,0.6281390856406954,0.6477065235434073,0.5,18636,18636,0,0,292,63.821917808219176,25,0.9931506849315068,570636,8958,53.66304142586887,1604.5676534306258,4241,9.670703139156103,173.7128020543605,19.316497407853603,1.7781684808433056,2.6033465061336756,4195258880,0,8959,7684.0,17.0,791,2745.0,923.0,1565.0,1278.0,1875.0,10250.0
srt_h4096,srt,4096,36,78.38452787258248,1.0036356414236989,619,16939,619,6336,11905,0.6312301166489925,0.6526506222246587,0.5,18860,18860,0,0,296,63.71621621621622,1,0.9932432432432432,589496,9254,53.902466053143144,1658.470119483769,4395,9.692687720060349,183.40548977442086,19.2064817994833,1.8695249874144793,2.426971947774291,4195283456,0,9255,8052.0,27.0,963,2664.0,936.0,1416.0,1194.0,1882.0,10768.0
srt_h4096,srt,4096,37,78.09753954305799,1.0284094297602853,632,17558,632,7064,11216,0.5930626057529611,0.613566739606127,0.5,18912,18912,0,0,296,63.891891891891895,40,0.9932432432432432,608408,9550,53.47642022930086,1711.9465397130698,4552,9.960199486464262,193.36568926088512,18.957738682627678,1.9165530893951654,2.13782243616879,4195308032,0,9551,8675.0,19.0,1087,2938.0,1026.0,1513.0,1236.0,1852.0,10347.0
srt_h4096,srt,4096,38,79.02023429179978,0.968332006108857,575,18190,575,6112,11997,0.6421001926782274,0.6624882655033408,0.5,18684,18684,0,0,292,63.986301369863014,61,0.9931506849315068,627092,9842,55.46016949042678,1767.4067092034966,4695,10.291615480557084,203.6573047414422,21.054208379238844,2.0398834608495235,2.3110543936491013,4195332608,0,9843,9181.0,15.0,1016,2870.0,984.0,1470.0,1237.0,1837.0,10286.0
srt_h4096,srt,4096,39,78.83135787065918,0.9958629205559286,459,18765,459,5874,11887,0.6524149286498353,0.6692753786385902,0.5,18220,18220,0,0,286,63.70629370629371,11,0.993006993006993,645312,10128,55.164750745519996,1822.5714599490166,4809,10.622935364022851,214.28024010546505,21.30022001452744,1.9587748777121305,2.5714535657316446,4195357184,0,10129,9443.0,17.0,930,2774.0,958.0,1507.0,1288.0,1923.0,9770.0
srt_h4096,srt,4096,40,78.53244390539722,1.007777222015556,554,19224,554,6615,11431,0.6145698924731183,0.6334367726920093,0.5,18600,18600,0,0,291,63.91752577319588,42,0.993127147766323,663912,10419,52.21606966853142,1874.787529617548,4947,11.113061713054776,225.39330181851983,17.71871428191662,1.9839048124849796,2.6149122454226017,4195381760,0,10420,9903.0,10.0,964,2887.0,994.0,1603.0,1329.0,1959.0,9828.0
srt_h4096,srt,4096,41,78.76916948814977,1.0006754408157976,297,19778,297,4273,13002,0.739927156840428,0.7526483357452967,0.5,17572,17572,0,0,275,63.89818181818182,41,0.9927272727272727,681484,10694,50.90569385513663,1925.6932234726846,5021,11.248624995350838,236.64192681387067,17.959485599771142,2.132765321061015,2.350838292390108,4195406336,0,10695,10031.0,13.0,707,2676.0,956.0,1486.0,1226.0,1859.0,9369.0
srt_h4096,srt,4096,42,78.20438239286406,1.0384075959107428,548,20075,548,7038,10990,0.5916236003445305,0.6096072775682272,0.5,18576,18576,0,0,291,63.83505154639175,36,0.993127147766323,700060,10985,53.70345427468419,1979.3966777473688,5157,11.694893071427941,248.3368198852986,18.952624225988984,2.0565793085843325,2.744529467076063,4195430912,0,10986,10502.0,14.0,883,2975.0,1006.0,1657.0,1329.0,1909.0,9700.0
