condition,stage,task,accuracy,examples,correct,forgetting,backward_transfer
uniform_h1024,27,8,87.21804511278195,133,116,8.27067669172932,-8.27067669172932
uniform_h1024,27,9,86.56716417910448,134,116,2.2388059701492438,-2.2388059701492438
uniform_h1024,27,10,82.6086956521739,138,114,8.695652173913047,-8.695652173913047
uniform_h1024,27,11,84.0,100,84,11.0,-11.0
uniform_h1024,27,12,80.17241379310344,116,93,12.06896551724138,-12.06896551724138
uniform_h1024,27,13,85.03937007874016,127,108,5.511811023622045,-5.511811023622045
uniform_h1024,27,14,87.87878787878788,132,116,6.060606060606062,-6.060606060606062
uniform_h1024,27,15,82.75862068965517,116,96,1.7241379310344769,-1.7241379310344769
uniform_h1024,27,16,77.44360902255639,133,103,11.278195488721806,-11.278195488721806
uniform_h1024,27,17,84.12698412698413,126,106,8.730158730158735,-8.730158730158735
uniform_h1024,27,18,91.50943396226415,106,97,3.773584905660371,-3.773584905660371
uniform_h1024,27,19,75.22935779816514,109,82,17.43119266055045,-17.43119266055045
uniform_h1024,27,20,74.25742574257426,101,75,11.881188118811878,-11.881188118811878
uniform_h1024,27,21,89.58333333333333,144,129,4.861111111111114,-4.861111111111114
uniform_h1024,27,22,78.33333333333333,120,94,13.333333333333343,-13.333333333333343
uniform_h1024,27,23,80.34188034188034,117,94,8.547008547008545,-8.547008547008545
uniform_h1024,27,24,73.25581395348837,86,63,15.116279069767444,-15.116279069767444
uniform_h1024,27,25,75.38461538461539,65,49,10.769230769230774,-10.769230769230774
uniform_h1024,27,26,87.8048780487805,123,108,7.317073170731703,-7.317073170731703
uniform_h1024,27,27,92.03539823008849,113,104,,
uniform_h1024,28,1,79.66101694915254,118,94,11.864406779661024,-11.864406779661024
uniform_h1024,28,2,90.0,130,117,6.15384615384616,-6.15384615384616
uniform_h1024,28,3,86.98630136986301,146,127,0.6849315068493098,0.6849315068493098
uniform_h1024,28,4,88.63636363636364,176,156,8.522727272727266,-8.522727272727266
uniform_h1024,28,5,85.9375,128,110,7.8125,-7.8125
uniform_h1024,28,6,86.66666666666667,120,104,0.0,0.0
uniform_h1024,28,7,86.95652173913044,115,100,9.565217391304344,-9.565217391304344
uniform_h1024,28,8,87.21804511278195,133,116,8.27067669172932,-8.27067669172932
uniform_h1024,28,9,82.83582089552239,134,111,5.970149253731336,-5.970149253731336
uniform_h1024,28,10,84.78260869565217,138,117,6.521739130434781,-6.521739130434781
uniform_h1024,28,11,79.0,100,79,16.0,-16.0
uniform_h1024,28,12,75.0,116,87,17.241379310344826,-17.241379310344826
uniform_h1024,28,13,85.8267716535433,127,109,4.7244094488189035,-4.7244094488189035
uniform_h1024,28,14,85.60606060606061,132,113,8.333333333333329,-8.333333333333329
uniform_h1024,28,15,81.03448275862068,116,94,3.448275862068968,-3.448275862068968
uniform_h1024,28,16,77.44360902255639,133,103,11.278195488721806,-11.278195488721806
uniform_h1024,28,17,80.95238095238095,126,102,11.904761904761912,-11.904761904761912
uniform_h1024,28,18,90.56603773584905,106,96,4.716981132075475,-4.716981132075475
uniform_h1024,28,19,78.89908256880734,109,86,13.761467889908246,-13.761467889908246
uniform_h1024,28,20,76.23762376237623,101,77,9.900990099009903,-9.900990099009903
uniform_h1024,28,21,86.80555555555556,144,125,7.638888888888886,-7.638888888888886
uniform_h1024,28,22,77.5,120,93,14.166666666666671,-14.166666666666671
uniform_h1024,28,23,79.48717948717949,117,93,9.401709401709397,-9.401709401709397
uniform_h1024,28,24,72.09302325581395,86,62,16.279069767441868,-16.279069767441868
uniform_h1024,28,25,75.38461538461539,65,49,10.769230769230774,-10.769230769230774
uniform_h1024,28,26,72.35772357723577,123,89,22.764227642276424,-22.764227642276424
uniform_h1024,28,27,75.22123893805309,113,85,16.8141592920354,-16.8141592920354
uniform_h1024,28,28,92.15686274509804,102,94,,
uniform_h1024,29,1,83.89830508474576,118,99,7.6271186440678065,-7.6271186440678065
uniform_h1024,29,2,90.0,130,117,6.15384615384616,-6.15384615384616
uniform_h1024,29,3,85.61643835616438,146,125,2.0547945205479436,-0.684931506849324
uniform_h1024,29,4,90.9090909090909,176,160,6.25,-6.25
uniform_h1024,29,5,74.21875,128,95,19.53125,-19.53125
uniform_h1024,29,6,80.0,120,96,6.666666666666671,-6.666666666666671
uniform_h1024,29,7,86.95652173913044,115,100,9.565217391304344,-9.565217391304344
uniform_h1024,29,8,85.71428571428571,133,114,9.774436090225564,-9.774436090225564
uniform_h1024,29,9,84.32835820895522,134,113,4.477611940298502,-4.477611940298502
uniform_h1024,29,10,85.5072463768116,138,118,5.79710144927536,-5.79710144927536
uniform_h1024,29,11,83.0,100,83,12.0,-12.0
uniform_h1024,29,12,76.72413793103448,116,89,15.517241379310349,-15.517241379310349
uniform_h1024,29,13,85.8267716535433,127,109,4.7244094488189035,-4.7244094488189035
uniform_h1024,29,14,88.63636363636364,132,117,5.303030303030297,-5.303030303030297
uniform_h1024,29,15,81.89655172413794,116,95,2.5862068965517153,-2.5862068965517153
uniform_h1024,29,16,78.19548872180451,133,104,10.526315789473685,-10.526315789473685
uniform_h1024,29,17,83.33333333333333,126,105,9.523809523809533,-9.523809523809533
uniform_h1024,29,18,90.56603773584905,106,96,4.716981132075475,-4.716981132075475
uniform_h1024,29,19,67.88990825688073,109,74,24.77064220183486,-24.77064220183486
uniform_h1024,29,20,77.22772277227723,101,78,8.910891089108901,-8.910891089108901
uniform_h1024,29,21,86.11111111111111,144,124,8.333333333333329,-8.333333333333329
uniform_h1024,29,22,80.0,120,96,11.666666666666671,-11.666666666666671
uniform_h1024,29,23,81.19658119658119,117,95,7.692307692307693,-7.692307692307693
uniform_h1024,29,24,77.90697674418605,86,67,10.465116279069761,-10.465116279069761
uniform_h1024,29,25,70.76923076923077,65,46,15.384615384615387,-15.384615384615387
uniform_h1024,29,26,82.92682926829268,123,102,12.19512195121952,-12.19512195121952
uniform_h1024,29,27,77.87610619469027,113,88,14.159292035398224,-14.159292035398224
uniform_h1024,29,28,87.25490196078431,102,89,4.901960784313729,-4.901960784313729
uniform_h1024,29,29,89.47368421052632,114,102,,
uniform_h1024,30,1,83.05084745762711,118,98,8.47457627118645,-8.47457627118645
uniform_h1024,30,2,91.53846153846153,130,119,4.615384615384627,-4.615384615384627
uniform_h1024,30,3,86.3013698630137,146,126,1.3698630136986196,0.0
uniform_h1024,30,4,82.95454545454545,176,146,14.204545454545453,-14.204545454545453
uniform_h1024,30,5,81.25,128,104,12.5,-12.5
uniform_h1024,30,6,81.66666666666667,120,98,5.0,-5.0
uniform_h1024,30,7,86.08695652173913,115,99,10.434782608695656,-10.434782608695656
uniform_h1024,30,8,86.46616541353383,133,115,9.022556390977442,-9.022556390977442
uniform_h1024,30,9,82.08955223880596,134,110,6.71641791044776,-6.71641791044776
uniform_h1024,30,10,84.05797101449275,138,116,7.246376811594203,-7.246376811594203
uniform_h1024,30,11,83.0,100,83,12.0,-12.0
uniform_h1024,30,12,78.44827586206897,116,91,13.793103448275858,-13.793103448275858
uniform_h1024,30,13,85.03937007874016,127,108,5.511811023622045,-5.511811023622045
uniform_h1024,30,14,86.36363636363636,132,114,7.575757575757578,-7.575757575757578
uniform_h1024,30,15,81.89655172413794,116,95,2.5862068965517153,-2.5862068965517153
uniform_h1024,30,16,73.6842105263158,133,98,15.037593984962399,-15.037593984962399
uniform_h1024,30,17,80.95238095238095,126,102,11.904761904761912,-11.904761904761912
uniform_h1024,30,18,89.62264150943396,106,95,5.660377358490564,-5.660377358490564
uniform_h1024,30,19,82.56880733944953,109,90,10.091743119266056,-10.091743119266056
uniform_h1024,30,20,75.24752475247524,101,76,10.89108910891089,-10.89108910891089
uniform_h1024,30,21,88.19444444444444,144,127,6.25,-6.25
uniform_h1024,30,22,80.83333333333333,120,97,10.833333333333343,-10.833333333333343
uniform_h1024,30,23,77.77777777777777,117,91,11.111111111111114,-11.111111111111114
uniform_h1024,30,24,76.74418604651163,86,66,11.627906976744185,-11.627906976744185
uniform_h1024,30,25,72.3076923076923,65,47,13.846153846153854,-13.846153846153854
uniform_h1024,30,26,80.48780487804878,123,99,14.63414634146342,-14.63414634146342
uniform_h1024,30,27,75.22123893805309,113,85,16.8141592920354,-16.8141592920354
uniform_h1024,30,28,86.27450980392157,102,88,5.882352941176464,-5.882352941176464
uniform_h1024,30,29,78.94736842105263,114,90,10.526315789473685,-10.526315789473685
uniform_h1024,30,30,91.58878504672897,214,196,,
