condition,score_mode,bin,lower,upper,examples,accuracy,confidence
srt_h4096_strict_rho80_unit8,raw,2,0.13333333333333333,0.2,43,0.09302325581395349,0.1745980129579545
srt_h4096_strict_rho80_unit8,raw,3,0.2,0.26666666666666666,90,0.14444444444444443,0.23428971384489575
srt_h4096_strict_rho80_unit8,raw,4,0.26666666666666666,0.3333333333333333,115,0.1826086956521739,0.3009132291071308
srt_h4096_strict_rho80_unit8,raw,5,0.3333333333333333,0.4,166,0.2469879518072289,0.3670247439213039
srt_h4096_strict_rho80_unit8,raw,6,0.4,0.4666666666666667,162,0.30864197530864196,0.435909782307762
srt_h4096_strict_rho80_unit8,raw,7,0.4666666666666667,0.5333333333333333,181,0.39226519337016574,0.5004023815186187
srt_h4096_strict_rho80_unit8,raw,8,0.5333333333333333,0.6,233,0.4034334763948498,0.5669753617619863
srt_h4096_strict_rho80_unit8,raw,9,0.6,0.6666666666666666,218,0.43119266055045874,0.6337626872083295
srt_h4096_strict_rho80_unit8,raw,10,0.6666666666666666,0.7333333333333333,213,0.45539906103286387,0.6999596925152303
srt_h4096_strict_rho80_unit8,raw,11,0.7333333333333333,0.8,223,0.5739910313901345,0.7672766443841145
srt_h4096_strict_rho80_unit8,raw,12,0.8,0.8666666666666667,257,0.622568093385214,0.8313315395830777
srt_h4096_strict_rho80_unit8,raw,13,0.8666666666666667,0.9333333333333333,384,0.671875,0.9027115179791952
srt_h4096_strict_rho80_unit8,raw,14,0.9333333333333333,1.0,3704,0.9481641468682506,0.9913385161795244
srt_h4096_strict_rho80_unit8,calibrated,0,0.0,0.06666666666666667,7,0.0,0.05425678290405282
srt_h4096_strict_rho80_unit8,calibrated,1,0.06666666666666667,0.13333333333333333,85,0.09411764705882353,0.11132613129599715
srt_h4096_strict_rho80_unit8,calibrated,2,0.13333333333333333,0.2,195,0.2205128205128205,0.170615277912712
srt_h4096_strict_rho80_unit8,calibrated,3,0.2,0.26666666666666666,247,0.23481781376518218,0.23403939661170142
srt_h4096_strict_rho80_unit8,calibrated,4,0.26666666666666666,0.3333333333333333,260,0.3576923076923077,0.3001685683323032
srt_h4096_strict_rho80_unit8,calibrated,5,0.3333333333333333,0.4,245,0.40816326530612246,0.36893246907484845
srt_h4096_strict_rho80_unit8,calibrated,6,0.4,0.4666666666666667,230,0.45652173913043476,0.4340769313861848
srt_h4096_strict_rho80_unit8,calibrated,7,0.4666666666666667,0.5333333333333333,255,0.5098039215686274,0.4983446680295808
srt_h4096_strict_rho80_unit8,calibrated,8,0.5333333333333333,0.6,246,0.5528455284552846,0.5638098006780109
srt_h4096_strict_rho80_unit8,calibrated,9,0.6,0.6666666666666666,220,0.7090909090909091,0.6339626902091084
srt_h4096_strict_rho80_unit8,calibrated,10,0.6666666666666666,0.7333333333333333,243,0.6584362139917695,0.6998461362537134
