condition,metric,kind,previous_quality,lower,upper,count
srt_h1024,clock_gap,historical,1,256,512.0,1789
srt_h1024,clock_gap,historical,1,512,1024.0,524
srt_h1024,clock_gap,historical,1,1024,2048.0,36
srt_h1024,clock_gap,historical,1,2048,4096.0,0
srt_h1024,clock_gap,historical,1,4096,8192.0,0
srt_h1024,clock_gap,historical,1,8192,16384.0,0
srt_h1024,clock_gap,historical,1,16384,32768.0,0
srt_h1024,clock_gap,historical,1,32768,65536.0,0
srt_h1024,clock_gap,historical,1,65536,131072.0,0
srt_h1024,clock_gap,historical,1,131072,262144.0,0
srt_h1024,clock_gap,historical,1,262144,524288.0,0
srt_h1024,clock_gap,historical,1,524288,1048576.0,0
srt_h1024,clock_gap,historical,1,1048576,2097152.0,0
srt_h1024,clock_gap,historical,1,2097152,4194304.0,0
srt_h1024,clock_gap,historical,1,4194304,8388608.0,0
srt_h1024,clock_gap,historical,1,8388608,16777216.0,0
srt_h1024,clock_gap,historical,1,16777216,33554432.0,0
srt_h1024,clock_gap,historical,1,33554432,67108864.0,0
srt_h1024,clock_gap,historical,1,67108864,134217728.0,0
srt_h1024,clock_gap,historical,1,134217728,268435456.0,0
srt_h1024,clock_gap,historical,1,268435456,536870912.0,0
srt_h1024,clock_gap,historical,1,536870912,1073741824.0,0
srt_h1024,clock_gap,historical,1,1073741824,2147483648.0,0
srt_h1024,clock_gap,historical,1,2147483648,4294967296.0,0
srt_h1024,clock_gap,historical,1,4294967296,8589934592.0,0
srt_h1024,clock_gap,historical,1,8589934592,17179869184.0,0
srt_h1024,clock_gap,historical,1,17179869184,34359738368.0,0
srt_h1024,clock_gap,historical,1,34359738368,68719476736.0,0
srt_h1024,clock_gap,historical,1,68719476736,137438953472.0,0
srt_h1024,clock_gap,historical,1,137438953472,274877906944.0,0
srt_h1024,clock_gap,historical,1,274877906944,549755813888.0,0
srt_h1024,clock_gap,historical,1,549755813888,1099511627776.0,0
srt_h1024,clock_gap,historical,1,1099511627776,,0
srt_h1024,clock_gap,historical,2,0,1.0,0
srt_h1024,clock_gap,historical,2,1,2.0,0
srt_h1024,clock_gap,historical,2,2,4.0,0
srt_h1024,clock_gap,historical,2,4,8.0,0
srt_h1024,clock_gap,historical,2,8,16.0,4132
srt_h1024,clock_gap,historical,2,16,32.0,2525
srt_h1024,clock_gap,historical,2,32,64.0,3135
srt_h1024,clock_gap,historical,2,64,128.0,3541
srt_h1024,clock_gap,historical,2,128,256.0,3362
srt_h1024,clock_gap,historical,2,256,512.0,2222
srt_h1024,clock_gap,historical,2,512,1024.0,647
srt_h1024,clock_gap,historical,2,1024,2048.0,36
srt_h1024,clock_gap,historical,2,2048,4096.0,0
srt_h1024,clock_gap,historical,2,4096,8192.0,0
