job,seed,phase,epoch,lora_learning_rate,head_learning_rate,training_accuracy,training_nll,training_presentations,optimizer_steps,training_batch_wall_seconds,evaluation_wall_seconds,fit_probe_accuracy,fit_probe_nll,validation_accuracy,validation_nll,stale_epochs,rate_reductions,model_sha256,epoch_hash
development,1993,development,11,0.0005,0.01,84.77083333333333,0.6394952446719011,19200,300,57.15287884324789,16.497489428147674,97.94921875,0.07308966919872571,76.52083333333333,1.1040259739374905,0,1,3bb34fd1453bb589fba1a21116fca228f9a8ea130bca704c6e1cea83e6f8ec6a,8e17d6782ba48f5c7a6cd35fc8e7373a67c007fedce9665ad5219c984d9e4000
development,1993,development,12,0.0001,0.002,86.55729166666667,0.5720761699974537,19200,300,56.03393144533038,16.717388475313783,98.73046875,0.05183308047484357,76.75,1.135959504618955,1,1,ce88b6137c0c1591d7ced221a2a51550e928317983573c35ec510e5ee7e3a1e5,1630a18a50102847bad873650869f743714744af02c450a340143751eccdc057
development,1993,development,13,0.0001,0.002,86.69270833333333,0.5554096256693204,19200,300,57.77782463282347,16.990747751668096,98.92578125,0.04549781672624633,76.8125,1.116267815800027,2,1,91875dacf4f297ddd5a190f7be9d4cdb921ab80377fb889f061329fc3a91da9c,154f4beb39f606c84eacdd4ba897c795df88303f7d5ce45b5b810a0015820439
development,1993,development,14,0.0001,0.002,87.328125,0.5411969126264254,19200,300,56.7685085516423,16.56169226951897,98.92578125,0.04113256082010376,76.75,1.1402356500569142,3,1,ba9bd2bf0570b5b27fb5c0803385e0c7613694d351fafe3ca34411e208d393ed,45d182915e2d96544e1ce8c627117557b9365e42be43516a049272c525202aa7
development,1993,development,15,0.0001,0.002,87.38541666666667,0.5293645134071508,19200,300,56.70814519748092,16.417710289359093,98.974609375,0.03969854538033629,77.0625,1.1401747686029762,0,1,a7a649b7a8de58a615506b36225f421a81ad357b36358e9193c6a6517673b3ec,11ff3c2cc7b3d420cd73386e9a686e16a5d1cabb7c22d0cebb36a1f6960b28e2
development,1993,development,16,0.0001,0.002,87.27604166666667,0.5289559871951739,19200,300,56.097849456593394,16.59663969837129,98.974609375,0.039011654822926164,77.10416666666667,1.1449028656200466,1,1,83293329b87a563dc18bd33adfc1ca55dde22a4d29494cea950c4eeef09e038f,67c7252acc3d0c8bcbf5fc92022ff815023b189cbe86ae1dd3464fbd28eed3b5
development,1993,development,17,0.0001,0.002,88.1875,0.5063596041500569,19200,300,56.66125075891614,16.677363136783242,99.169921875,0.03620249535012236,77.3125,1.1449969058350868,0,1,09b31b252e28b99d983c3f37386f880d6cf3b69e90ef39dc191709e4b758492b,f44cdea571c01391ae9f1bf9cae9cbb53a3f113a7367d835ab617694b7d2862c
development,1993,development,18,0.0001,0.002,88.13541666666667,0.49495857054988546,19200,300,55.746526753529906,16.60169392079115,99.560546875,0.031083258522827187,77.375,1.1599671822328583,1,1,2f5f7d92682e6ef8251eff44907c181be099d746e289b0574ae7201282b9c41b,d67320c5c246c4e51426959b4225023595bc738958ce4ab349542ff2d87d2e28
development,1993,development,19,0.0001,0.002,88.06770833333333,0.51129648193717,19200,300,56.843260096386075,16.671035232022405,99.462890625,0.030263207507362243,77.41666666666667,1.1518683976204542,0,1,f369dd08286c7c09ce4730550d5946ee05b77f89de4a56930030d099bcd85196,990c198c6bc95d1e7ad120139e3f3855906d18deaa4671490bda1151c542a53f
development,1993,development,20,0.0001,0.002,88.015625,0.502245787680149,19200,300,56.16217756643891,16.711802372708917,99.169921875,0.03125181218413213,77.10416666666667,1.1554649289772454,1,1,38a45416daa51ac4db1ba519c2b8d3cee8ec789b3d2cc2ee08bea68231579efc,42af13f62ac156db483bb78ffa58a83ba92f28e98ef6306801cb9615afb473b7
development,1993,development,21,0.0001,0.002,88.140625,0.49898211722572644,19200,300,57.09933499619365,16.39020928926766,99.4140625,0.028626127442596596,76.875,1.1711152060908103,2,1,5fb44c7893f9f7d502756fed4adaa5a9e4c61c4e5b01dbf81fc0d46ce6bb48cf,9624222bae89c8bf5ed411482572cb5839d8b6d7925f0b3002a353860928cfb0
development,1993,development,22,0.0001,0.002,88.40104166666667,0.4903557604551315,19200,300,56.01926307938993,16.348253285512328,99.267578125,0.02964636909347074,77.10416666666667,1.1948134761739602,3,1,4ccd237ad95e4f98a3b883e08de7bed84d393e6d03e54b1d510be7394cdd3f05,f31b62b0b7eccd9f9e1e2b6798e294e903258cac0af0776ea4bec7fbe6673866
