condition,image_id,image,arrival_stage,stage,exposure,kind,step,presentations,clock,confidence,quality,previous_quality,step_gap,presentation_gap,stage_gap,clock_gap,due_before,lateness,ease_before,ease_after,successes_before,successes_after,interval_before,interval_after,due_after,stage_position
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,5,current_review,3283,208861,3283,0.9999438524246216,5.0,5.0,16.0,1024.0,0.0,16,3268,15,1.58,1.68,1.0,2.0,1,6,3289,15.158620689655173
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,16,4,current_review,3286,209053,3286,0.999997615814209,5.0,5.0,17.0,1088.0,0.0,17,3275,11,1.9,2.0,2.0,3.0,6,12,3298,15.168965517241379
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,6,current_review,3306,210333,3306,1.0,5.0,5.0,23.0,1472.0,0.0,23,3289,17,1.68,1.78,2.0,3.0,6,11,3317,15.23793103448276
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,16,5,current_review,3314,210845,3314,0.9978521466255188,5.0,5.0,28.0,1792.0,0.0,28,3298,16,2.0,2.1,3.0,4.0,12,26,3340,15.26551724137931
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,7,current_review,3326,211613,3326,1.0,5.0,5.0,20.0,1280.0,0.0,20,3317,9,1.78,1.88,3.0,4.0,11,21,3347,15.306896551724138
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,16,6,current_review,3341,212573,3341,0.9999993443489075,5.0,5.0,27.0,1728.0,0.0,27,3340,1,2.1,2.2,4.0,5.0,26,58,3399,15.358620689655172
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,8,current_review,3348,213021,3348,1.0,5.0,5.0,22.0,1408.0,0.0,22,3347,1,1.88,1.98,4.0,5.0,21,42,3390,15.382758620689655
srt_h4096,17b5eda6ec97c8c626cc77506b631234783cbfeaa50aac8c22fcc69e6eb2d4e7,2202,1,16,34,historical,3364,214045,3364,0.9136708974838257,4.0,5.0,1374.0,87646.0,5.0,1374,3246,118,2.3,2.3,10.0,11.0,1256,2889,6253,15.437931034482759
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,9,current_review,3390,215709,3390,1.0,5.0,5.0,42.0,2688.0,0.0,42,3390,0,1.98,2.08,5.0,6.0,42,88,3478,15.527586206896551
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,16,7,current_review,3399,216285,3399,0.9999993443489075,5.0,5.0,58.0,3712.0,0.0,58,3399,0,2.2,2.3,5.0,6.0,58,134,3533,15.558620689655172
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,16,10,current_review,3478,221341,3478,1.0,5.0,5.0,88.0,5632.0,0.0,88,3478,0,2.08,2.18,6.0,7.0,88,192,3670,15.831034482758621
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,17,8,historical,3634,231298,3634,0.9887286424636841,5.0,5.0,235.0,15013.0,1.0,235,3533,101,2.3,2.4,6.0,7.0,134,322,3956,16.37152777777778
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,17,11,historical,3679,234178,3679,0.9059866070747375,4.0,5.0,201.0,12837.0,1.0,201,3670,9,2.18,2.18,7.0,8.0,192,419,4098,16.52777777777778
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,17,47,historical,3682,234370,3682,0.9217876195907593,4.0,5.0,1300.0,82991.0,4.0,1300,3672,10,2.06,2.06,13.0,14.0,1290,2658,6340,16.538194444444443
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,18,9,historical,4039,257151,4039,0.9999667406082153,5.0,5.0,405.0,25853.0,1.0,405,3956,83,2.4,2.5,7.0,8.0,322,805,4844,17.791519434628974
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,19,12,historical,4124,262565,4124,0.999963104724884,5.0,4.0,445.0,28387.0,2.0,445,4098,26,2.18,2.28,8.0,9.0,419,956,5080,18.091549295774648
srt_h4096,06b7f584df5abf3344a49415149f911ecdf95d43ecbd01d61125232c58cc684d,621,16,22,10,historical,5075,323132,5075,0.999703586101532,5.0,5.0,1036.0,65981.0,4.0,1036,4844,231,2.5,2.6,8.0,9.0,805,2093,7168,21.40418118466899
srt_h4096,9d69c722c9b25f6dcb19b7ae61386d9cf7ae5cd29d45c6b238050ad7c7421850,14792,16,22,13,historical,5096,324476,5096,0.9999982714653015,5.0,5.0,972.0,61911.0,3.0,972,5080,16,2.28,2.38,9.0,10.0,956,2276,7372,21.477351916376307
srt_h4096,fd8d35f3e0c95e260870c86a4f23a1f41c9f064254047eba43f7d58e05fe2ada,23781,1,27,48,historical,6387,406670,6387,0.059605974704027176,0.0,4.0,2705.0,172300.0,10.0,2705,6340,47,2.06,1.3,14.0,0.0,2658,1,6388,26.04895104895105
