condition,learned_permutation_count,active_node_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
integrator_uniform_replay,25,3,0.7439062595367432,0.9470027685165405,512,256,256,4,0.1106108408421278,0.0,0.005307327955961227,0.04202556051313877,0.0632779523730278,3584,1536,2048,2048,6,32,16,1024,6400,19200,6400
integrator_uniform_replay,26,3,0.7400841116905212,0.9784424901008606,512,256,256,4,0.1185180265456438,0.0,0.006148930639028549,0.05031815730035305,0.06205093860626221,3584,1536,2048,2048,6,32,16,1024,6656,19968,6656
full_replay_integrator_20_epochs,26,3,0.7983773946762085,1.1072865724563599,6656,6656,0,20,2.950642369687557,0.020774943754076958,0.003571208566427231,0.1478446815162897,2.7784515358507633,153088,19968,133120,133120,12,1040,1040,13312,6656,19968,6656
integrator_uniform_replay,27,4,0.7287326455116272,1.0165162086486816,512,256,256,4,0.13116511143743992,0.0,0.005962833762168884,0.055064065381884575,0.07013821229338646,4096,2048,2048,2048,8,32,16,1024,6912,27648,6912
integrator_uniform_replay,28,3,0.7320033311843872,1.0225303173065186,512,256,256,4,0.12376399338245392,0.0,0.006184859201312065,0.04723851755261421,0.07034061662852764,3584,1536,2048,2048,6,32,16,1024,7168,21504,7168
integrator_uniform_replay,29,4,0.7277747988700867,1.0227285623550415,512,256,256,4,0.13684141263365746,0.0,0.006535110995173454,0.05879601091146469,0.07151029072701931,4096,2048,2048,2048,8,32,16,1024,7424,29696,7424
integrator_uniform_replay,30,4,0.7222656011581421,1.0067912340164185,512,256,256,4,0.12846513092517853,0.0,0.005755411460995674,0.05598175898194313,0.06672796048223972,4096,2048,2048,2048,8,32,16,1024,7680,30720,7680
integrator_uniform_replay,31,5,0.7431955933570862,0.954107403755188,512,256,256,4,0.15350314043462276,0.0,0.005888823419809341,0.06542332097887993,0.0821909960359335,4608,2560,2048,2048,10,32,16,1024,7936,39680,7936
integrator_uniform_replay,32,1,0.7808837890625,0.9175522327423096,512,256,256,4,0.11312662437558174,0.0,0.0067802611738443375,0.024433916434645653,0.08191244676709175,2560,512,2048,2048,2,32,16,1024,8192,8192,8192
integrator_uniform_replay,33,2,0.7771070003509521,0.9169399738311768,512,256,256,4,0.11357709020376205,0.0,0.007475739344954491,0.047748059034347534,0.05835329182446003,3072,1024,2048,2048,4,32,16,1024,8448,16896,8448
integrator_uniform_replay,34,2,0.7647058963775635,0.931710422039032,512,256,256,4,0.11348053067922592,0.0,0.008068118244409561,0.04022928886115551,0.06518312357366085,3072,1024,2048,2048,4,32,16,1024,8704,17408,8704
integrator_uniform_replay,35,3,0.7549107074737549,0.9577902555465698,512,256,256,4,0.11961929686367512,0.0,0.009164953604340553,0.046185558661818504,0.06426878459751606,3584,1536,2048,2048,6,32,16,1024,8960,26880,8960
integrator_uniform_replay,36,2,0.7682291865348816,0.9135251641273499,512,256,256,4,0.10034865327179432,0.0,0.007743207737803459,0.031041191890835762,0.0615642536431551,3072,1024,2048,2048,4,32,16,1024,9216,18432,9216
integrator_uniform_replay,37,3,0.7688978314399719,0.8614124655723572,512,256,256,4,0.1267446931451559,0.0,0.009508905932307243,0.050332922488451004,0.06690286472439766,3584,1536,2048,2048,6,32,16,1024,9472,28416,9472
integrator_uniform_replay,38,3,0.7487664222717285,0.9351432919502258,512,256,256,4,0.11937457323074341,0.0,0.010170774534344673,0.04615682549774647,0.06304697319865227,3584,1536,2048,2048,6,32,16,1024,9728,29184,9728
integrator_uniform_replay,39,4,0.7522035241127014,0.9370898604393005,512,256,256,4,0.15196825563907623,0.0,0.011224089190363884,0.06271218881011009,0.07803197763860226,4096,2048,2048,2048,8,32,16,1024,9984,39936,9984
integrator_uniform_replay,40,2,0.77001953125,0.9061066508293152,512,256,256,4,0.1183165293186903,0.0,0.008499447256326675,0.0320470817387104,0.07777000032365322,3072,1024,2048,2048,4,32,16,1024,10240,20480,10240
integrator_uniform_replay,41,3,0.7580030560493469,0.9106141328811646,512,256,256,4,0.1277153119444847,0.0,0.010799581184983253,0.04871907830238342,0.06819665245711803,3584,1536,2048,2048,6,32,16,1024,10496,31488,10496
full_replay_integrator_20_epochs,41,3,0.7923970818519592,1.11311936378479,10496,10496,0,20,4.755345212295651,0.029401950538158417,0.008154602721333504,0.24597098119556904,4.4718176778405905,241408,31488,209920,209920,18,1640,1640,20992,10496,31488,10496
integrator_uniform_replay,42,3,0.7549293041229248,0.9545920491218567,512,256,256,4,0.1413766462355852,0.0,0.011854395270347595,0.04972938261926174,0.07979286834597588,3584,1536,2048,2048,6,32,16,1024,10752,32256,10752
integrator_uniform_replay,43,4,0.7437318563461304,0.9255741834640503,512,256,256,4,0.14764509350061417,0.0,0.015339169651269913,0.06610422395169735,0.0662016998976469,4096,2048,2048,2048,8,32,16,1024,11008,44032,11008
integrator_uniform_replay,44,3,0.7638494372367859,0.9327706694602966,512,256,256,4,0.12268436513841152,0.0,0.014719421043992043,0.0407527219504118,0.06721222214400768,3584,1536,2048,2048,6,32,16,1024,11264,33792,11264
integrator_uniform_replay,45,4,0.7322916388511658,0.9956990480422974,512,256,256,4,0.1437481753528118,0.0,0.015866663306951523,0.059250324964523315,0.06863118708133698,4096,2048,2048,2048,8,32,16,1024,11520,46080,11520
integrator_uniform_replay,46,4,0.7325068116188049,1.056997299194336,512,256,256,4,0.12937930971384048,0.0,0.014329923316836357,0.05375735089182854,0.06129203550517559,4096,2048,2048,2048,8,32,16,1024,11776,47104,11776
integrator_uniform_replay,47,5,0.7111037373542786,1.0491752624511719,512,256,256,4,0.14944777637720108,0.0,0.013827236369252205,0.06813903898000717,0.0674815010279417,4608,2560,2048,2048,10,32,16,1024,12032,60160,12032
integrator_uniform_replay,48,2,0.7432454228401184,0.9415224194526672,512,256,256,4,0.12848170474171638,0.0,0.01769169233739376,0.03544113226234913,0.0753488801419735,3072,1024,2048,2048,4,32,16,1024,12288,24576,12288
integrator_uniform_replay,49,3,0.7340561151504517,0.9558181762695312,512,256,256,4,0.12894678302109241,0.0,0.016736336052417755,0.046341799199581146,0.06586864776909351,3584,1536,2048,2048,6,32,16,1024,12544,37632,12544
integrator_uniform_replay,50,3,0.7685156464576721,0.8823289275169373,512,256,256,4,0.14286484383046627,0.0,0.018304606899619102,0.0488643292337656,0.07569590769708157,3584,1536,2048,2048,6,32,16,1024,12800,38400,12800
integrator_uniform_replay,51,4,0.7473958134651184,0.919828474521637,512,256,256,4,0.15623508393764496,0.0,0.019491521641612053,0.06652967445552349,0.07021388784050941,4096,2048,2048,2048,8,32,16,1024,13056,52224,13056
integrator_uniform_replay,52,3,0.7269381284713745,1.067323088645935,512,256,256,4,0.1272409651428461,0.0,0.016973968595266342,0.04659693129360676,0.06367006525397301,3584,1536,2048,2048,6,32,16,1024,13312,39936,13312
integrator_uniform_replay,53,4,0.7457989454269409,0.9388484358787537,512,256,256,4,0.15768867917358875,0.0,0.01686515100300312,0.059320760890841484,0.08150276727974415,4096,2048,2048,2048,8,32,16,1024,13568,54272,13568
integrator_uniform_replay,54,4,0.7486979365348816,0.9634014964103699,512,256,256,4,0.13774335384368896,0.0,0.017606180161237717,0.054914262145757675,0.06522291153669357,4096,2048,2048,2048,8,32,16,1024,13824,55296,13824
integrator_uniform_replay,55,5,0.7330965995788574,0.9730799794197083,512,256,256,4,0.15063756704330444,0.0,0.01957825757563114,0.07334059290587902,0.05771871656179428,4608,2560,2048,2048,10,32,16,1024,14080,70400,14080
integrator_uniform_replay,56,3,0.7610909342765808,0.9525307416915894,512,256,256,4,0.13650417886674404,0.0,0.020409541204571724,0.05345879681408405,0.06263584084808826,3584,1536,2048,2048,6,32,16,1024,14336,43008,14336
integrator_uniform_replay,57,4,0.7060717940330505,1.030311942100525,512,256,256,4,0.15383801981806755,0.0,0.021535256877541542,0.06478746421635151,0.0675152987241745,4096,2048,2048,2048,8,32,16,1024,14592,58368,14592
integrator_uniform_replay,58,4,0.7453529238700867,0.9792037606239319,512,256,256,4,0.1500561684370041,0.0,0.01903778314590454,0.06328648515045643,0.06773190014064312,4096,2048,2048,2048,8,32,16,1024,14848,59392,14848
integrator_uniform_replay,59,5,0.729806661605835,1.00796377658844,512,256,256,4,0.15366201288998127,0.0,0.020539654418826103,0.06719497963786125,0.06592737883329391,4608,2560,2048,2048,10,32,16,1024,15104,75520,15104
integrator_uniform_replay,60,4,0.7178385257720947,1.0317528247833252,512,256,256,4,0.14756709896028042,0.0,0.018992116674780846,0.06252395920455456,0.06605102308094501,4096,2048,2048,2048,8,32,16,1024,15360,61440,15360
