stage,live_nodes,rank_matched_joint_rank,persistent_affine_h4096_accuracy,persistent_affine_h4096_nll,persistent_affine_h8192_accuracy,persistent_affine_h8192_nll,stage_matched_joint_rank16_accuracy,rank_matched_joint_accuracy,rank_matched_joint_nll,h4096_gap_to_stage_joint,h8192_gap_to_stage_joint,h4096_gap_to_rank_joint,h8192_gap_to_rank_joint,h4096_true_node_oracle_accuracy,h8192_true_node_oracle_accuracy
38,3,48,79.7444089456869,0.961680208557584,79.33972310969116,1.0039781271840056,80.02129793167114,81.0223642172524,0.8055627585219118,-0.27688898598424316,-0.6815748219799787,-1.277955271565503,-1.6826411075612384,83.38658146964856,82.68370607028754
39,4,64,78.70659180702849,1.0259042879875249,79.12247868579746,1.0549529371699862,79.87107634544373,81.28509045539613,0.7968715934253676,-1.1644845384152376,-0.7485976596462649,-2.578498648367642,-2.1626117695986693,83.30214181742566,82.99022665834893
40,2,32,78.95694360218315,1.0359975110407378,78.77501516070346,1.0956030938754016,80.08894324302673,80.89751364463311,0.8098164460672039,-1.1319996408435884,-1.3139280823232724,-1.9405700424499628,-2.122498483929647,82.31251263391955,82.09015564988883
41,3,48,79.16749651463851,1.0557908580683542,78.2513443537144,1.13379243920225,79.9243152141571,80.94005178251345,0.8103951517031787,-0.7568186995185897,-1.6729708604427032,-1.7725552678749352,-2.6887074287990487,83.27026488747262,82.39394542919737
42,3,48,79.01880938530154,1.0665627779691562,78.18499127399652,1.1027202595105485,79.98836636543274,80.60888113244134,0.8154593137245851,-0.9695569801312018,-1.803375091436223,-1.5900717471398025,-2.4238898584448236,82.81946868334303,82.14077952297848
43,4,64,77.97449076718065,1.0485131846322076,77.76508661717114,1.1464065840056845,79.68779802322388,80.60156101275462,0.8175060743380564,-1.7133072560432225,-1.9227114060527413,-2.627070245573961,-2.8364743955834797,83.24766799923853,82.63849229011993
44,3,48,77.48779571911378,1.131305393042799,76.62410814870447,1.2190321873239767,79.72211837768555,80.43559894855426,0.8406546349548729,-2.23432265857177,-3.0980102289810816,-2.9478032294404812,-3.8114907998497927,82.33195644010515,81.24295906871949
45,4,64,77.75731909408948,1.0898318307392287,76.91032958939422,1.2385366373443183,79.61701154708862,80.77702080648132,0.8141347105124229,-1.8596924529991412,-2.7066819576944,-3.0197017123918357,-3.8666912170870944,82.82084330694163,82.36052292395507
46,4,64,77.94170564951422,1.0961665739983952,75.71068729758906,1.3321120415543772,79.63296175003052,80.65851025548758,0.8429371160155108,-1.6912561005162985,-3.9222744524414566,-2.7168046059733655,-4.9478229578985236,83.05145735876215,80.89240734077006
47,5,80,76.74131546464469,1.1777966909151274,75.45406453888204,1.306077418010337,79.84482645988464,80.7794039851878,0.8423261489424203,-3.103510995239958,-4.390761921002607,-4.038088520543113,-5.325339446305762,83.3539058367131,81.29077764062775
48,2,32,76.70238506740408,1.1700113634728577,75.04320774282752,1.2874370829440136,79.10473346710205,79.62322848254408,0.8857068712225926,-2.4023483996979706,-4.0615257242745315,-2.9208434151399985,-4.580020739716559,81.04044244728655,79.81334255098514
49,3,48,75.77249575551782,1.181930747461238,75.80645161290323,1.2821332621452965,79.03226017951965,79.60950764006792,0.8960943298752725,-3.2597644240018298,-3.225808566616422,-3.837011884550094,-3.8030560271646863,81.86757215619694,80.62818336162988
50,3,48,75.86666666666666,1.2150902474721272,76.21666666666667,1.3099330838521321,78.86666655540466,79.76666666666667,0.8794760046005249,-2.999999888738003,-2.6499998887379945,-3.9000000000000057,-3.549999999999997,81.83333333333333,80.68333333333334
