accuracy,condition,partition,stage,task
92.5696611404419,rotating__example_uniform__reset_each_stage,fit_population,31,28
90.6593382358551,rotating__example_uniform__reset_each_stage,fit_population,31,29
99.36034083366394,rotating__example_uniform__reset_each_stage,fit_population,31,3
87.00730204582214,rotating__example_uniform__reset_each_stage,fit_population,31,30
87.46594190597534,rotating__example_uniform__reset_each_stage,fit_population,31,31
99.64601993560791,rotating__example_uniform__reset_each_stage,fit_population,31,4
98.54721426963806,rotating__example_uniform__reset_each_stage,fit_population,31,5
99.22480583190918,rotating__example_uniform__reset_each_stage,fit_population,31,6
99.45799708366394,rotating__example_uniform__reset_each_stage,fit_population,31,7
99.06542301177979,rotating__example_uniform__reset_each_stage,fit_population,31,8
99.52830076217651,rotating__example_uniform__reset_each_stage,fit_population,31,9
86.17021441459656,rotating__example_uniform__reset_each_stage,validation,31,1
91.74311757087708,rotating__example_uniform__reset_each_stage,validation,31,10
81.01266026496887,rotating__example_uniform__reset_each_stage,validation,31,11
82.79569745063782,rotating__example_uniform__reset_each_stage,validation,31,12
89.21568393707275,rotating__example_uniform__reset_each_stage,validation,31,13
89.62264060974121,rotating__example_uniform__reset_each_stage,validation,31,14
89.24731016159058,rotating__example_uniform__reset_each_stage,validation,31,15
82.07547068595886,rotating__example_uniform__reset_each_stage,validation,31,16
69.69696879386902,rotating__example_uniform__reset_each_stage,validation,31,17
80.0000011920929,rotating__example_uniform__reset_each_stage,validation,31,18
73.56321811676025,rotating__example_uniform__reset_each_stage,validation,31,19
81.3725471496582,rotating__example_uniform__reset_each_stage,validation,31,2
76.82926654815674,rotating__example_uniform__reset_each_stage,validation,31,20
81.8965494632721,rotating__example_uniform__reset_each_stage,validation,31,21
76.04166865348816,rotating__example_uniform__reset_each_stage,validation,31,22
76.59574747085571,rotating__example_uniform__reset_each_stage,validation,31,23
75.71428418159485,rotating__example_uniform__reset_each_stage,validation,31,24
73.58490824699402,rotating__example_uniform__reset_each_stage,validation,31,25
82.82828330993652,rotating__example_uniform__reset_each_stage,validation,31,26
