accuracy,condition,partition,stage,task
88.99082541465759,static__task_uniform__reset_each_stage,validation,31,10
77.21518874168396,static__task_uniform__reset_each_stage,validation,31,11
82.79569745063782,static__task_uniform__reset_each_stage,validation,31,12
84.3137264251709,static__task_uniform__reset_each_stage,validation,31,13
86.79245114326477,static__task_uniform__reset_each_stage,validation,31,14
81.72042965888977,static__task_uniform__reset_each_stage,validation,31,15
79.24528121948242,static__task_uniform__reset_each_stage,validation,31,16
75.75757503509521,static__task_uniform__reset_each_stage,validation,31,17
75.29411911964417,static__task_uniform__reset_each_stage,validation,31,18
68.96551847457886,static__task_uniform__reset_each_stage,validation,31,19
78.43137383460999,static__task_uniform__reset_each_stage,validation,31,2
75.60975551605225,static__task_uniform__reset_each_stage,validation,31,20
77.58620977401733,static__task_uniform__reset_each_stage,validation,31,21
72.91666865348816,static__task_uniform__reset_each_stage,validation,31,22
62.76595592498779,static__task_uniform__reset_each_stage,validation,31,23
69.9999988079071,static__task_uniform__reset_each_stage,validation,31,24
71.69811129570007,static__task_uniform__reset_each_stage,validation,31,25
78.78788113594055,static__task_uniform__reset_each_stage,validation,31,26
72.52747416496277,static__task_uniform__reset_each_stage,validation,31,27
81.4814805984497,static__task_uniform__reset_each_stage,validation,31,28
76.0869562625885,static__task_uniform__reset_each_stage,validation,31,29
82.90598392486572,static__task_uniform__reset_each_stage,validation,31,3
78.94737124443054,static__task_uniform__reset_each_stage,validation,31,30
79.1208803653717,static__task_uniform__reset_each_stage,validation,31,31
78.41726541519165,static__task_uniform__reset_each_stage,validation,31,4
73.7864077091217,static__task_uniform__reset_each_stage,validation,31,5
86.3157868385315,static__task_uniform__reset_each_stage,validation,31,6
85.86956262588501,static__task_uniform__reset_each_stage,validation,31,7
86.91588640213013,static__task_uniform__reset_each_stage,validation,31,8
78.09523940086365,static__task_uniform__reset_each_stage,validation,31,9
99.73753094673157,rotating__example_uniform__carry,fit_population,31,1
99.77169036865234,rotating__example_uniform__carry,fit_population,31,10
99.36708807945251,rotating__example_uniform__carry,fit_population,31,11
99.1847813129425,rotating__example_uniform__carry,fit_population,31,12
99.75550174713135,rotating__example_uniform__carry,fit_population,31,13
100.0,rotating__example_uniform__carry,fit_population,31,14
99.73118305206299,rotating__example_uniform__carry,fit_population,31,15
100.0,rotating__example_uniform__carry,fit_population,31,16
99.24812316894531,rotating__example_uniform__carry,fit_population,31,17
98.81656765937805,rotating__example_uniform__carry,fit_population,31,18
99.42196607589722,rotating__example_uniform__carry,fit_population,31,19
99.27184581756592,rotating__example_uniform__carry,fit_population,31,2
98.76543283462524,rotating__example_uniform__carry,fit_population,31,20
99.56803321838379,rotating__example_uniform__carry,fit_population,31,21
100.0,rotating__example_uniform__carry,fit_population,31,22
100.0,rotating__example_uniform__carry,fit_population,31,23
98.5401451587677,rotating__example_uniform__carry,fit_population,31,24
99.51456189155579,rotating__example_uniform__carry,fit_population,31,25
97.71573543548584,rotating__example_uniform__carry,fit_population,31,26
98.88579249382019,rotating__example_uniform__carry,fit_population,31,27
97.21361994743347,rotating__example_uniform__carry,fit_population,31,28
97.80219793319702,rotating__example_uniform__carry,fit_population,31,29
99.57355856895447,rotating__example_uniform__carry,fit_population,31,3
94.16058659553528,rotating__example_uniform__carry,fit_population,31,30
97.00272679328918,rotating__example_uniform__carry,fit_population,31,31
100.0,rotating__example_uniform__carry,fit_population,31,4
99.0314781665802,rotating__example_uniform__carry,fit_population,31,5
100.0,rotating__example_uniform__carry,fit_population,31,6
99.72899556159973,rotating__example_uniform__carry,fit_population,31,7
99.53271150588989,rotating__example_uniform__carry,fit_population,31,8
99.76415038108826,rotating__example_uniform__carry,fit_population,31,9
88.29787373542786,rotating__example_uniform__carry,validation,31,1
86.23853325843811,rotating__example_uniform__carry,validation,31,10
81.01266026496887,rotating__example_uniform__carry,validation,31,11
81.72042965888977,rotating__example_uniform__carry,validation,31,12
88.23529481887817,rotating__example_uniform__carry,validation,31,13
90.56603908538818,rotating__example_uniform__carry,validation,31,14
84.94623899459839,rotating__example_uniform__carry,validation,31,15
79.24528121948242,rotating__example_uniform__carry,validation,31,16
77.77777910232544,rotating__example_uniform__carry,validation,31,17
80.0000011920929,rotating__example_uniform__carry,validation,31,18
86.20689511299133,rotating__example_uniform__carry,validation,31,19
79.41176295280457,rotating__example_uniform__carry,validation,31,2
73.17073345184326,rotating__example_uniform__carry,validation,31,20
79.31034564971924,rotating__example_uniform__carry,validation,31,21
77.08333134651184,rotating__example_uniform__carry,validation,31,22
76.59574747085571,rotating__example_uniform__carry,validation,31,23
62.85714507102966,rotating__example_uniform__carry,validation,31,24
75.47169923782349,rotating__example_uniform__carry,validation,31,25
75.75757503509521,rotating__example_uniform__carry,validation,31,26
72.52747416496277,rotating__example_uniform__carry,validation,31,27
77.77777910232544,rotating__example_uniform__carry,validation,31,28
71.7391312122345,rotating__example_uniform__carry,validation,31,29
88.88888955116272,rotating__example_uniform__carry,validation,31,3
78.36257219314575,rotating__example_uniform__carry,validation,31,30
82.41758346557617,rotating__example_uniform__carry,validation,31,31
84.89208817481995,rotating__example_uniform__carry,validation,31,4
83.49514603614807,rotating__example_uniform__carry,validation,31,5
88.42105269432068,rotating__example_uniform__carry,validation,31,6
83.69565010070801,rotating__example_uniform__carry,validation,31,7
87.85046935081482,rotating__example_uniform__carry,validation,31,8
77.14285850524902,rotating__example_uniform__carry,validation,31,9
99.47506785392761,rotating__example_uniform__reset_each_stage,fit_population,31,1
100.0,rotating__example_uniform__reset_each_stage,fit_population,31,10
100.0,rotating__example_uniform__reset_each_stage,fit_population,31,11
99.728262424469,rotating__example_uniform__reset_each_stage,fit_population,31,12
99.5110034942627,rotating__example_uniform__reset_each_stage,fit_population,31,13
99.76190328598022,rotating__example_uniform__reset_each_stage,fit_population,31,14
98.65591526031494,rotating__example_uniform__reset_each_stage,fit_population,31,15
