arm,arm_label,result_source,policy,max_nodes_per_level,run_seed,training_sample_multiplier,base_parameter_count,condition,learned_permutation_count,active_node_count,input_slot_count,integrator_parameter_count,accuracy,cross_entropy,training_examples,current_examples,historical_examples,epochs,total_training_wall_seconds,state_initialization_wall_seconds,data_preparation_wall_seconds,feature_wall_seconds,optimizer_wall_seconds,total_training_forward_example_passes,feature_forward_example_passes,integrator_forward_example_passes,integrator_backward_example_passes,feature_forward_calls,integrator_forward_calls,integrator_backward_calls,excluded_diagnostic_forward_example_passes,excluded_evaluation_examples,excluded_evaluation_feature_forward_example_passes,excluded_evaluation_integrator_forward_example_passes_per_condition
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,36,2,7,4411658,0.7682291865348816,0.9135251641273499,512,256,256,4,0.10685459151864052,0.0,0.007146112620830536,0.030027976259589195,0.06968050263822079,3072,1024,2048,2048,4,32,16,1024,9216,18432,9216
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,37,3,7,4411658,0.7688978314399719,0.8614124655723572,512,256,256,4,0.11037154868245125,0.0,0.0073753707110881805,0.03801499307155609,0.06498118489980698,3584,1536,2048,2048,6,32,16,1024,9472,28416,9472
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,38,3,7,4411658,0.7487664222717285,0.9351432919502258,512,256,256,4,0.12539587169885635,0.0,0.007070848718285561,0.048847245052456856,0.06947777792811394,3584,1536,2048,2048,6,32,16,1024,9728,29184,9728
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,39,4,7,4411658,0.7522035241127014,0.9370898604393005,512,256,256,4,0.1289587188512087,0.0,0.008259030058979988,0.051476895809173584,0.06922279298305511,4096,2048,2048,2048,8,32,16,1024,9984,39936,9984
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,40,2,7,4411658,0.77001953125,0.9061066508293152,512,256,256,4,0.1138004269450903,0.0,0.008947150781750679,0.03476514108479023,0.07008813507854939,3072,1024,2048,2048,4,32,16,1024,10240,20480,10240
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,41,3,7,4411658,0.7580030560493469,0.9106141328811646,512,256,256,4,0.11420684866607189,0.0,0.008220676332712173,0.04030844196677208,0.06567773036658764,3584,1536,2048,2048,6,32,16,1024,10496,31488,10496
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,full_replay_integrator_20_epochs,41,3,7,4411658,0.7923970818519592,1.11311936378479,10496,10496,0,20,4.451018178835511,0.023660404607653618,0.005810830742120743,0.210459616035223,4.211087327450514,241408,31488,209920,209920,18,1640,1640,20992,10496,31488,10496
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,42,3,7,4411658,0.7549293041229248,0.9545920491218567,512,256,256,4,0.11342455260455608,0.0,0.008705008774995804,0.04640802554786205,0.05831151828169823,3584,1536,2048,2048,6,32,16,1024,10752,32256,10752
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,43,4,7,4411658,0.7437318563461304,0.9255741834640503,512,256,256,4,0.1352611854672432,0.0,0.011834338307380676,0.05556968227028847,0.06785716488957405,4096,2048,2048,2048,8,32,16,1024,11008,44032,11008
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,44,3,7,4411658,0.7638494372367859,0.9327706694602966,512,256,256,4,0.13036121428012848,0.0,0.014606751501560211,0.04044777899980545,0.07530668377876282,3584,1536,2048,2048,6,32,16,1024,11264,33792,11264
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,45,4,7,4411658,0.7322916388511658,0.9956990480422974,512,256,256,4,0.14843087829649448,0.0,0.01636400632560253,0.06170630641281605,0.0703605655580759,4096,2048,2048,2048,8,32,16,1024,11520,46080,11520
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,46,4,7,4411658,0.7325068116188049,1.056997299194336,512,256,256,4,0.12010792456567287,0.0,0.0127195343375206,0.04732252471148968,0.0600658655166626,4096,2048,2048,2048,8,32,16,1024,11776,47104,11776
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,47,5,7,4411658,0.7111037373542786,1.0491752624511719,512,256,256,4,0.1497317422181368,0.0,0.01649424433708191,0.07173314690589905,0.06150435097515583,4608,2560,2048,2048,10,32,16,1024,12032,60160,12032
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,48,2,7,4411658,0.7432454228401184,0.9415224194526672,512,256,256,4,0.10684249177575111,0.0,0.016042664647102356,0.031874559819698334,0.058925267308950424,3072,1024,2048,2048,4,32,16,1024,12288,24576,12288
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,49,3,7,4411658,0.7340561151504517,0.9558181762695312,512,256,256,4,0.13474679179489613,0.0,0.017814986407756805,0.055894650518894196,0.061037154868245125,3584,1536,2048,2048,6,32,16,1024,12544,37632,12544
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,50,3,7,4411658,0.7685156464576721,0.8823289275169373,512,256,256,4,0.12384641170501709,0.0,0.017025282606482506,0.04059663973748684,0.06622448936104774,3584,1536,2048,2048,6,32,16,1024,12800,38400,12800
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,51,4,7,4411658,0.7473958134651184,0.919828474521637,512,256,256,4,0.1345338113605976,0.0,0.017913177609443665,0.049774009734392166,0.06684662401676178,4096,2048,2048,2048,8,32,16,1024,13056,52224,13056
reference_model_standard_samples,"Reference model, standard samples",authenticated_predecessor,one_node_per_level,1,0,1,2383370,integrator_uniform_replay,52,3,7,4411658,0.7269381284713745,1.067323088645935,512,256,256,4,0.15474936924874783,0.0,0.018921714276075363,0.05134500376880169,0.08448265120387077,3584,1536,2048,2048,6,32,16,1024,13312,39936,13312
